"Specification","Session Id","Mode","Client","Mount Point","Object Status"
"AV_daily","2021/05/03-4","incr1","mshcrnftst03.mtsinai.toronto.on.ca","/var/log/audit","Completed"
"AV_daily","2021/05/03-4","incr1","mshcrnftst03.mtsinai.toronto.on.ca","/var/crash","Completed"
"AV_daily","2021/05/03-4","incr1","mshcrnftst03.mtsinai.toronto.on.ca","/home","Completed"
"AV_daily","2021/05/03-4","incr1","mshcrnftst03.mtsinai.toronto.on.ca","/boot","Completed"
"AV_daily","2021/05/03-4","incr1","mshcrnftst03.mtsinai.toronto.on.ca","/ibus","Completed"
"AV_daily","2021/05/03-4","incr1","mshcrnftst03.mtsinai.toronto.on.ca","/var","Completed"
"AV_daily","2021/05/03-4","incr1","mshcrnftst03.mtsinai.toronto.on.ca","/tmp","Completed"
"AV_daily","2021/05/03-4","incr1","mshcrnftst03.mtsinai.toronto.on.ca","/","Completed"
"Vardhan_daily2","2021/05/03-25","incr1","mshcrnftst03.mtsinai.toronto.on.ca","/var/log/audit","Completed"
"Vardhan_daily2","2021/05/03-25","incr1","mshcrnftst03.mtsinai.toronto.on.ca","/var/crash","Completed"
"Vardhan_daily2","2021/05/03-25","incr1","mshcrnftst03.mtsinai.toronto.on.ca","/home","Completed"
"Vardhan_daily2","2021/05/03-25","incr1","mshcrnftst03.mtsinai.toronto.on.ca","/boot","Completed"
"Vardhan_daily2","2021/05/03-25","incr1","mshcrnftst03.mtsinai.toronto.on.ca","/ibus","Completed"
"Vardhan_daily2","2021/05/03-25","incr1","mshcrnftst03.mtsinai.toronto.on.ca","/var","Completed"
"Vardhan_daily2","2021/05/03-25","incr1","mshcrnftst03.mtsinai.toronto.on.ca","/tmp","Completed"
"Vardhan_daily2","2021/05/03-25","incr1","mshcrnftst03.mtsinai.toronto.on.ca","/","Completed"
