"Specification","Session Id","Mode","BkpType","Client","Mount Point","Object Status","End Time"
"GSL_236_LUBAS-BU01_DAILY","2022/06/21-136","incr1","Oracle8","lubas-bu01.delphidrive.com","Inet","Failed","6/21/2022 11:17:54 AM"
"GSL_236_LUBAS-BU01_DAILY","2022/06/21-136","incr1","WinFS","lubas-bu01.delphidrive.com","/C","Completed","6/21/2022 11:17:54 AM"
"GSL_236_LUBAS-BU01_DAILY","2022/06/21-136","incr1","WinFS","lubas-bu01.delphidrive.com","/D","Completed","6/21/2022 11:17:54 AM"
"GSL_236_LUBAS-BU01_DAILY","2022/06/21-136","incr1","WinFS","lubas-bu01.delphidrive.com","/CONFIGURATION","Completed","6/21/2022 11:17:54 AM"
"GSL_269_TRIZMP-AP12_DAILY","2022/06/21-216","incr1","WinFS","trizmp-ap12.delphidrive.com","\\?\Volume{2d65d32f-cf3d-481b-b9c0-17662a54772e}\","Completed","6/21/2022 7:39:49 PM"
"GSL_269_TRIZMP-AP12_DAILY","2022/06/21-216","incr1","WinFS","trizmp-ap12.delphidrive.com","/CONFIGURATION","Completed","6/21/2022 7:39:49 PM"
"GSL_269_TRIZMP-AP12_DAILY","2022/06/21-216","incr1","WinFS","trizmp-ap12.delphidrive.com","/C","Completed","6/21/2022 7:39:49 PM"
"GSL_269_TRIZMP-AP12_DAILY","2022/06/21-216","incr1","WinFS","trizmp-ap12.delphidrive.com","/E","Failed","6/21/2022 7:39:49 PM"
"GSL_269_TRIZMP-AP12_DAILY","2022/06/21-216","incr1","WinFS","trizmp-ap12.delphidrive.com","/F","Completed","6/21/2022 7:39:49 PM"
"GSL_269_TRIZMP-AP12_DAILY","2022/06/21-216","incr1","WinFS","trizmp-ap12.delphidrive.com","/X","Completed","6/21/2022 7:39:49 PM"
"GSL_202_FRBLO-TS01_DAILY","2022/06/21-234","incr1","WinFS","frblo-ts01.delphidrive.com","\\?\Volume{5cfbb627-0000-0000-0000-100000000000}\","Completed","6/21/2022 5:14:35 PM"
"GSL_202_FRBLO-TS01_DAILY","2022/06/21-234","incr1","WinFS","frblo-ts01.delphidrive.com","/CONFIGURATION","Completed","6/21/2022 5:14:35 PM"
