"Session Type","Specification","Status","Mode","Start Time","Start Time_t","End Time","End Time_t","Queuing","Duration","GB Written","Media","Errors","Warnings","Pending DA","Running DA","Failed DA","Completed DA","Object","Files","Success","Session Owner","Session ID"
"Backup","Oracle8 SCC_BKP_CAT_STRLGPR_RAC_ARC_FULL_DAILY","Completed","full","6/21/2022 7:19:01 AM","1655810341","6/21/2022 7:20:06 AM","1655810406","0:00","0:01","0.18","1","0","1","0","0","0","2","2","0","100%","oracle.dba@tslprraps1.delphidrive.com","2022/06/21-87"
"Backup","Oracle8 GSL10304_ROIADB01_SPCIA_RMAN_ARC_ST","Completed","full","6/21/2022 7:30:02 AM","1655811002","6/21/2022 7:36:28 AM","1655811388","0:00","0:06","0.36","1","0","0","0","0","0","2","2","0","100%","oracle.dba@roiadb01.delphidrive.com","2022/06/21-88"
"Backup","Oracle8 GSL10304_ROIADB01_TPUMPPR1_RMAN_ARC_ST","Completed","full","6/21/2022 7:30:02 AM","1655811002","6/21/2022 7:53:30 AM","1655812410","0:06","0:23","23.76","1","0","1","0","0","0","2","2","0","100%","oracle.dba@roiadb01.delphidrive.com","2022/06/21-89"
"Backup","Oracle8 SCC_BKP_CAT_STRLGPR_RAC_ARC_FULL_DAILY","Completed","full","6/21/2022 7:49:00 AM","1655812140","6/21/2022 7:51:13 AM","1655812273","0:00","0:02","0.42","1","0","1","0","0","0","2","2","0","100%","oracle.dba@tslprraps1.delphidrive.com","2022/06/21-91"
"Backup","GSL_10420_CNSDYNT-AP02_DAILY","Completed","incr1","6/21/2022 8:00:01 AM","1655812801","6/21/2022 8:28:45 AM","1655814525","0:00","0:28","23.57","1","0","0","0","0","0","6","6","178726","100%","DELPHIDRIVE\SID_DT_DPSERVICEACCO@caonstrp-ap01.delphidrive.com","2022/06/21-92"
"Backup","Oracle8 GSL269_TRIZDA01_IZMIRMESPR1_RMAN_ARC_ST","Completed","full","6/21/2022 8:00:02 AM","1655812802","6/21/2022 8:04:37 AM","1655813077","0:00","0:04","0.51","1","0","0","0","0","0","2","2","1","100%","oracle.dba@trizda01.delphidrive.com","2022/06/21-93"
"Backup","Oracle8 SCC_BKP_CAT_PR1_ARC_FULL_DAILY","Completed","full","6/21/2022 8:00:03 AM","1655812803","6/21/2022 8:03:57 AM","1655813037","0:00","0:03","0.97","1","0","1","0","0","0","2","2","0","100%","orapr1.dba@dtpr1dbc.delphidrive.com","2022/06/21-94"
"Backup","Oracle8 SCC_BKP_CAT_SCCPR1_ARC_FULL_DAILY","Completed","full","6/21/2022 8:00:03 AM","1655812803","6/21/2022 8:00:49 AM","1655812849","0:00","0:00","0.65","2","0","2","0","0","0","5","5","0","100%","oracle.dba@tslprsfdbc.delphidrive.com","2022/06/21-95"
"Backup","Oracle8 SCC_BKP_CAT_IIBPR1_ARC_FULL_DAILY","Completed","full","6/21/2022 8:00:03 AM","1655812803","6/21/2022 8:01:23 AM","1655812883","0:00","0:01","0.11","1","0","1","0","0","0","3","3","0","100%","oracle.dba@tslpribdbc.delphidrive.com","2022/06/21-96"
"Backup","Oracle8 SCC_BKP_CAT_PG1_ARC_FULL_DAILY","Completed","full","6/21/2022 8:00:03 AM","1655812803","6/21/2022 8:01:13 AM","1655812873","0:00","0:01","0.18","1","0","1","0","0","0","3","3","1","100%","oracle.dba@tslprgrdb.delphidrive.com","2022/06/21-97"
"Backup","Oracle8 SCC_BKP_CAT_PN1_ARC_FULL_DAILY","Completed","full","6/21/2022 8:00:03 AM","1655812803","6/21/2022 8:02:13 AM","1655812933","0:00","0:02","1.26","1","0","1","0","0","0","3","3","1","100%","oracle.dba@dtpn1dbc.delphidrive.com","2022/06/21-98"
"Backup","Oracle8 SCC_BKP_CAT_PP1_ARC_FULL_DAILY","Completed","full","6/21/2022 8:00:03 AM","1655812803","6/21/2022 8:00:58 AM","1655812858","0:00","0:00","0.08","1","0","1","0","0","0","3","3","1","100%","oracle.dba@tslprepdbc.delphidrive.com","2022/06/21-99"
"Backup","Oracle8 SCC_BKP_CAT_SFGPR1_ARC_FULL_DAILY","Completed","full","6/21/2022 8:00:03 AM","1655812803","6/21/2022 8:01:12 AM","1655812872","0:00","0:01","0.49","1","0","1","0","0","0","4","4","0","100%","oracle.dba@tslprsfdbc.delphidrive.com","2022/06/21-100"
"Backup","GSL_10420_CNYTDA01_DAILY","Completed","incr1","6/21/2022 8:15:01 AM","1655813701","6/21/2022 8:35:10 AM","1655814910","0:13","0:20","1.95","1","0","19","0","0","0","7","7","11836","100%","DELPHIDRIVE\SID_DT_DPSERVICEACCO@caonstrp-ap01.delphidrive.com","2022/06/21-104"
"Backup","Oracle8 SCC_BKP_CAT_STRLGPR_RAC_ARC_FULL_DAILY","Completed","full","6/21/2022 8:15:02 AM","1655813702","6/21/2022 8:17:29 AM","1655813849","0:00","0:02","0.26","1","0","1","0","0","0","2","2","0","100%","oracle.dba@tslprraps1.delphidrive.com","2022/06/21-105"
"Backup","Oracle8 SCC_BKP_CAT_STRLGPR_RAC_ARC_FULL_DAILY","Completed","full","6/21/2022 8:19:01 AM","1655813941","6/21/2022 8:20:07 AM","1655814007","0:00","0:01","0.15","1","0","1","0","0","0","2","2","0","100%","oracle.dba@tslprraps1.delphidrive.com","2022/06/21-106"
"Backup","Oracle8 GSL269_TRIZDA01_TCIDIPR1_RMAN_ARC_ST","Completed","full","6/21/2022 8:30:02 AM","1655814602","6/21/2022 8:34:27 AM","1655814867","0:00","0:04","0.05","1","0","0","0","0","0","2","2","1","100%","oracle.dba@trizda01.delphidrive.com","2022/06/21-107"
"Backup","IDB SCC_BKP_CAT_IDB_FULL_DAILY","Completed","full","6/21/2022 8:30:03 AM","1655814603","6/21/2022 12:09:27 PM","1655827767","0:00","3:39","878.83","15","0","16","0","0","0","76","76","178458","100%","DELPHIDRIVE\SID_DT_DPSERVICEACCO@caonstrp-ap01.delphidrive.com","2022/06/21-108"
"Backup","Oracle8 SCC_BKP_CAT_STRLGPR_RAC_ARC_FULL_DAILY","Completed","full","6/21/2022 8:49:00 AM","1655815740","6/21/2022 8:51:27 AM","1655815887","0:00","0:02","0.31","1","0","1","0","0","0","2","2","0","100%","oracle.dba@tslprraps1.delphidrive.com","2022/06/21-109"
"Backup","Oracle8 SCC_BKP_CAT_PN1_ARC_FULL_DAILY","Completed","full","6/21/2022 9:00:02 AM","1655816402","6/21/2022 9:04:29 AM","1655816669","0:00","0:04","3.78","1","0","1","0","0","0","3","3","1","100%","oracle.dba@dtpn1dbc.delphidrive.com","2022/06/21-110"
"Backup","Oracle8 SCC_BKP_CAT_IIBPR1_ARC_FULL_DAILY","Completed","full","6/21/2022 9:00:02 AM","1655816402","6/21/2022 9:01:25 AM","1655816485","0:00","0:01","0.07","1","0","1","0","0","0","2","2","0","100%","oracle.dba@tslpribdbc.delphidrive.com","2022/06/21-111"
"Backup","Oracle8 SCC_BKP_CAT_PR1_ARC_FULL_DAILY","Completed","full","6/21/2022 9:00:02 AM","1655816402","6/21/2022 9:03:20 AM","1655816600","0:00","0:03","1.01","1","0","1","0","0","0","2","2","0","100%","orapr1.dba@dtpr1dbc.delphidrive.com","2022/06/21-112"
"Backup","Oracle8 SCC_BKP_CAT_PG1_ARC_FULL_DAILY","Completed","full","6/21/2022 9:00:02 AM","1655816402","6/21/2022 9:01:23 AM","1655816483","0:00","0:01","0.18","1","0","1","0","0","0","3","3","1","100%","oracle.dba@tslprgrdb.delphidrive.com","2022/06/21-113"
"Backup","Oracle8 SCC_BKP_CAT_PP1_ARC_FULL_DAILY","Completed","full","6/21/2022 9:00:02 AM","1655816402","6/21/2022 9:01:03 AM","1655816463","0:00","0:01","0.08","1","0","1","0","0","0","3","3","1","100%","oracle.dba@tslprepdbc.delphidrive.com","2022/06/21-114"
"Backup","Oracle8 SCC_BKP_CAT_SFGPR1_ARC_FULL_DAILY","Completed","full","6/21/2022 9:00:03 AM","1655816403","6/21/2022 9:01:21 AM","1655816481","0:00","0:01","0.65","1","0","1","0","0","0","5","5","0","100%","oracle.dba@tslprsfdbc.delphidrive.com","2022/06/21-115"
"Backup","Oracle8 SCC_BKP_CAT_SCCPR1_ARC_FULL_DAILY","Completed","full","6/21/2022 9:00:03 AM","1655816403","6/21/2022 9:00:50 AM","1655816450","0:00","0:00","0.49","2","0","2","0","0","0","4","4","0","100%","oracle.dba@tslprsfdbc.delphidrive.com","2022/06/21-116"
"Backup","Oracle8 SCC_BKP_CAT_STRLGPR_RAC_ARC_FULL_DAILY","Completed","full","6/21/2022 9:15:03 AM","1655817303","6/21/2022 9:17:34 AM","1655817454","0:00","0:02","0.24","1","0","1","0","0","0","2","2","0","100%","oracle.dba@tslprraps1.delphidrive.com","2022/06/21-117"
"Backup","Oracle8 SCC_BKP_CAT_STRLGPR_RAC_ARC_FULL_DAILY","Completed","full","6/21/2022 9:19:00 AM","1655817540","6/21/2022 9:19:54 AM","1655817594","0:00","0:00","0.19","1","0","1","0","0","0","2","2","0","100%","oracle.dba@tslprraps1.delphidrive.com","2022/06/21-118"
"Backup","Oracle8 SCC_BKP_CAT_STRLGPR_RAC_ARC_FULL_DAILY","Completed","full","6/21/2022 9:49:01 AM","1655819341","6/21/2022 9:51:12 AM","1655819472","0:00","0:02","0.36","1","0","1","0","0","0","2","2","0","100%","oracle.dba@tslprraps1.delphidrive.com","2022/06/21-119"
"Backup","GSL_269_TRIZDA01_DAILY","Completed","incr1","6/21/2022 10:00:01 AM","1655820001","6/21/2022 10:18:55 AM","1655821135","0:00","0:18","25.53","1","0","16","0","0","0","12","12","31599","100%","DELPHIDRIVE\SID_DT_DPSERVICEACCO@caonstrp-ap01.delphidrive.com","2022/06/21-120"
"Backup","GSL_269_TRIZMP-BU01_DAILY","Completed","incr1","6/21/2022 10:00:01 AM","1655820001","6/21/2022 10:09:25 AM","1655820565","0:00","0:09","7.73","1","0","0","0","0","0","4","4","70667","100%","DELPHIDRIVE\SID_DT_DPSERVICEACCO@caonstrp-ap01.delphidrive.com","2022/06/21-121"
