#List of Sessions
#Cell Manager: usoktul-ap20.delphidrive.com
#Creation Date: 8/24/2022 5:21:52 AM
# Headers
# Session Type	Specification	Status	Mode	Start Time	Start Time_t	End Time	End Time_t	Queuing	Duration	GB Written	# Media	# Errors	# Warnings	# Pending DA	# Running DA	# Failed DA	# Completed DA	# Objects	# Files	Success	Session Owner	Session ID
Backup	Oracle8 CDC_BKP_CAT_DE1_ARC_ST_Recovery	Completed	full	8/23/2022 5:30:01 AM	1661250601	8/23/2022 5:31:16 AM	1661250676	0:00	0:01	0.14	1	0	1	0	0	0	3	3	1	100%	oracle.dba@tcldvecdbc.delphidrive.com	2022/08/23-96
Backup	Oracle8 CDC_BKP_CAT_SCCST1_ARC_ST_FULL	Completed	full	8/23/2022 5:30:01 AM	1661250601	8/23/2022 5:30:44 AM	1661250644	0:00	0:00	0.02	1	0	1	0	0	0	1	1	1	100%	oracle.dba@tclqasfdbc.delphidrive.com	2022/08/23-97
Backup	Oracle8 CDC_BKP_CAT_RE1_ARC_ST_FULL	Completed	full	8/23/2022 5:30:01 AM	1661250601	8/23/2022 5:30:57 AM	1661250657	0:00	0:00	0.09	1	0	1	0	0	0	3	3	1	100%	oracle.dba@dtre1dbc.delphidrive.com	2022/08/23-98
Backup	Oracle8 CDC_BKP_CAT_SE1_ARC_ST_FULL	Completed	full	8/23/2022 5:30:01 AM	1661250601	8/23/2022 5:31:13 AM	1661250673	0:00	0:01	0.10	1	0	1	0	0	0	3	3	1	100%	oracle.dba@tclsbecdb.delphidrive.com	2022/08/23-99
 Backup	Oracle8 CDC_BKP_CAT_SFGST1_ARC_ST_FULL	Completed	full	8/23/2022 5:30:01 AM	1661250601	8/23/2022 5:32:44 AM	1661250764	0:00	0:02	0.84	1	0	1	0	0	0	5	5	1	100%	oracle.dba@tclqasfdbc.delphidrive.com	2022/08/23-100

Backup	Oracle8 CDC_BKP_CAT_DG1_ARC_ST_FULL	Completed	full	8/23/2022 5:45:01 AM	1661251501	8/23/2022 5:45:44 AM	1661251544	0:00	0:00	0.03	1	0	1	0	0	0	1	1	1	100%	oracle.dba@tcldvgrdbc.delphidrive.com	2022/08/23-101
Backup	Oracle8 CDC_BKP_CAT_STRLGDV_RAC_ARC_ST_FULL	Completed	full	8/23/2022 5:45:01 AM	1661251501	8/23/2022 5:46:20 AM	1661251580	0:00	0:01	0.21	1	0	1	0	0	0	3	3	1	100%	oracle.dba@tcldvracn1a.delphidrive.com	2022/08/23-102
Backup	Oracle8 CDC_BKP_CAT_SG1_ARC_ST_FULL	Completed	full	8/23/2022 5:45:01 AM	1661251501	8/23/2022 5:45:49 AM	1661251549	0:00	0:00	0.08	1	0	1	0	0	0	1	1	1	100%	oracle.dba@tclsbgrdbc.delphidrive.com	2022/08/23-103
Backup	Oracle8 CDC_BKP_CAT_DV1_ARC_ST_FULL	Completed	full	8/23/2022 6:00:01 AM	1661252401	8/23/2022 6:01:51 AM	1661252511	0:00	0:01	0.15	1	0	1	0	0	0	2	2	0	100%	oracle.dba@tcudvr3dbc.delphidrive.com	2022/08/23-104

Backup	Oracle8 CDC_BKP_CAT_B2BDEV_ARC_ST_FULL	Completed	full	8/23/2022 6:00:01 AM	1661252401	8/23/2022 6:01:02 AM	1661252462	0:00	0:01	0.08	1	0	1	0	0	0	3	3	1	100%	oracle.dba@tcldvibdbc.delphidrive.com	2022/08/23-105
Backup	Oracle8 CDC_BKP_CAT_IIBST1_ARC_ST_FULL	Completed	full	8/23/2022 6:00:01 AM	1661252401	8/23/2022 6:01:07 AM	1661252467	0:00	0:01	0.07	1	0	1	0	0	0	3	3	1	100%	oracle.dba@tclqaibdbc.delphidrive.com	2022/08/23-106
Backup	Oracle8 CDC_BKP_CAT_DP1_ARC_ST_FULL	Completed	full	8/23/2022 6:00:01 AM	1661252401	8/23/2022 6:01:05 AM	1661252465	0:00	0:01	0.08	1	0	1	0	0	0	3	3	1	100%	oracle.dba@tcldvepdbc.delphidrive.com	2022/08/23-107
Backup	Oracle8 SCC_BKP_CAT_PR1_ARC_FULL_DAILY	Completed	full	8/23/2022 6:00:01 AM	1661252401	8/23/2022 6:04:20 AM	1661252660	0:00	0:04	3.07	1	0	0	0	0	0	3	3	0	100%	orapr1.dba@tsuprr3db1.delphidrive.com	2022/08/23-108

Backup	Oracle8 CDC_BKP_CAT_CCDEV_ARC_ST_FULL	Completed	full	8/23/2022 6:15:01 AM	1661253301	8/23/2022 6:15:44 AM	1661253344	0:00	0:00	0.01	1	0	1	0	0	0	1	1	1	100%	oracle.dba@tcldvibdbc.delphidrive.com	2022/08/23-109
Backup	Oracle8 CDC_BKP_CAT_QP1_ARC_ST_FULL	Completed	full	8/23/2022 6:15:01 AM	1661253301	8/23/2022 6:16:10 AM	1661253370	0:00	0:01	0.10	1	0	1	0	0	0	3	3	1	100%	oracle.dba@tclqaepdbc.delphidrive.com	2022/08/23-110
