Specification,Session Id,Mode,BkpType,Client,Mount Point,Object Status,End Time
CDC_UNX_TCLDVIBDB_DAILY_recovery,2022/08/23-310,incr1,FileSystem,tcldvibdbc.delphidrive.com,/home,Completed,8/23/2022 6:02:34 PM
CDC_UNX_TCLDVIBDB_DAILY,2022/08/23-310,incr1,FileSystem,tcldvibdbc.delphidrive.com,/var/crash,Completed,8/23/2022 6:02:34 PM
CDC_UNX_TCLDVIBDB_DAILY,2022/08/23-310,incr1,FileSystem,tcldvibdbc.delphidrive.com,/u01/app,Completed,8/23/2022 6:02:34 PM
CDC_UNX_TCLDVIBDB_DAILY,2022/08/23-310,incr1,FileSystem,tcldvibdbc.delphidrive.com,/var/log/audit,Completed,8/23/2022 6:02:34 PM
CDC_UNX_TCLDVIBDB_DAILY,2022/08/23-310,incr1,FileSystem,tcldvibdbc.delphidrive.com,/boot,Completed,8/23/2022 6:02:34 PM
CDC_UNX_TCLDVIBDB_DAILY,2022/08/23-310,incr1,FileSystem,tcldvibdbc.delphidrive.com,/tmp,Completed,8/23/2022 6:02:34 PM
CDC_UNX_TCLDVIBDB_DAILY,2022/08/23-310,incr1,FileSystem,tcldvibdbc.delphidrive.com,/var,Completed,8/23/2022 6:02:34 PM
CDC_UNX_TCLDVIBDB_DAILY,2022/08/23-310,incr1,FileSystem,tcldvibdbc.delphidrive.com,/,Completed/Error,8/23/2022 6:02:34 PM
SCC_UNX_TSUPRR3DB1_DAILY,2022/08/23-322,incr1,FileSystem,tsuprr3db1.delphidrive.com,/usr/sap/DAA,Completed,8/23/2022 6:02:45 PM
SCC_UNX_TSUPRR3DB1_DAILY,2022/08/23-322,incr1,FileSystem,tsuprr3db1.delphidrive.com,/opt/dazel,Completed,8/23/2022 6:02:45 PM
SCC_UNX_TSUPRR3DB1_DAILY,2022/08/23-322,incr1,FileSystem,tsuprr3db1.delphidrive.com,/usr/sap,Completed,8/23/2022 6:02:45 PM
SCC_UNX_TSUPRR3DB1_DAILY,2022/08/23-322,incr1,FileSystem,tsuprr3db1.delphidrive.com,/sapmnt,Completed,8/23/2022 6:02:45 PM
SCC_UNX_TSUPRR3DB1_DAILY,2022/08/23-322,incr1,FileSystem,tsuprr3db1.delphidrive.com,/var/adm/crash,Completed,8/23/2022 6:02:45 PM
SCC_UNX_TSUPRR3DB1_DAILY,2022/08/23-322,incr1,FileSystem,tsuprr3db1.delphidrive.com,/oracle,Completed,8/23/2022 6:02:45 PM
SCC_UNX_TSUPRR3DB1_DAILY,2022/08/23-322,incr1,FileSystem,tsuprr3db1.delphidrive.com,/stand,Completed,8/23/2022 6:02:45 PM
SCC_UNX_TSUPRR3DB1_DAILY,2022/08/23-322,incr1,FileSystem,tsuprr3db1.delphidrive.com,/home,Completed,8/23/2022 6:02:45 PM
SCC_UNX_TSUPRR3DB1_DAILY,2022/08/23-322,incr1,FileSystem,tsuprr3db1.delphidrive.com,/var,Completed/Error,8/23/2022 6:02:45 PM
SCC_UNX_TSUPRR3DB1_DAILY,2022/08/23-322,incr1,FileSystem,tsuprr3db1.delphidrive.com,/usr,Completed,8/23/2022 6:02:45 PM
SCC_UNX_TSUPRR3DB1_DAILY,2022/08/23-322,incr1,FileSystem,tsuprr3db1.delphidrive.com,/tmp,Completed,8/23/2022 6:02:45 PM
SCC_UNX_TSUPRR3DB1_DAILY,2022/08/23-322,incr1,FileSystem,tsuprr3db1.delphidrive.com,/opt,Completed,8/23/2022 6:02:45 PM
SCC_UNX_TSUPRR3DB1_DAILY,2022/08/23-322,incr1,FileSystem,tsuprr3db1.delphidrive.com,/,Completed,8/23/2022 6:02:45 PM
CDC_UNX_TCLQAECDB20_DAILY,2022/08/23-356,incr1,FileSystem,tclqaecdb20c.delphidrive.com,/usr/sap/QE1,Completed,8/23/2022 7:01:45 PM
CDC_UNX_TCLQAECDB20_DAILY,2022/08/23-356,incr1,FileSystem,tclqaecdb20c.delphidrive.com,/sapmnt/QE1,Completed,8/23/2022 7:01:45 PM
CDC_UNX_TCLQAECDB20_DAILY,2022/08/23-356,incr1,FileSystem,tclqaecdb20c.delphidrive.com,/usr/sap/DAA,Completed,8/23/2022 7:01:45 PM
CDC_UNX_TCLQAECDB20_DAILY,2022/08/23-356,incr1,FileSystem,tclqaecdb20c.delphidrive.com,/var/crash,Completed,8/23/2022 7:01:45 PM
CDC_UNX_TCLQAECDB20_DAILY,2022/08/23-356,incr1,FileSystem,tclqaecdb20c.delphidrive.com,/var/log/audit,Completed,8/23/2022 7:01:45 PM
CDC_UNX_TCLQAECDB20_DAILY,2022/08/23-356,incr1,FileSystem,tclqaecdb20c.delphidrive.com,/opt/dazel,Completed,8/23/2022 7:01:45 PM
CDC_UNX_TCLQAECDB20_DAILY,2022/08/23-356,incr1,FileSystem,tclqaecdb20c.delphidrive.com,/usr/sap,Completed,8/23/2022 7:01:45 PM
CDC_UNX_TCLQAECDB20_DAILY,2022/08/23-356,incr1,FileSystem,tclqaecdb20c.delphidrive.com,/sapmnt,Completed,8/23/2022 7:01:45 PM
CDC_UNX_TCLQAECDB20_DAILY,2022/08/23-356,incr1,FileSystem,tclqaecdb20c.delphidrive.com,/oracle,Completed,8/23/2022 7:01:45 PM
CDC_UNX_TCLQAECDB20_DAILY,2022/08/23-356,incr1,FileSystem,tclqaecdb20c.delphidrive.com,/boot,Completed,8/23/2022 7:01:45 PM
CDC_UNX_TCLQAECDB20_DAILY,2022/08/23-356,incr1,FileSystem,tclqaecdb20c.delphidrive.com,/home,Completed,8/23/2022 7:01:45 PM
CDC_UNX_TCLQAECDB20_DAILY,2022/08/23-356,incr1,FileSystem,tclqaecdb20c.delphidrive.com,/var,Completed/Error,8/23/2022 7:01:45 PM
CDC_UNX_TCLQAECDB20_DAILY,2022/08/23-356,incr1,FileSystem,tclqaecdb20c.delphidrive.com,/tmp,Completed,8/23/2022 7:01:45 PM
CDC_UNX_TCLQAECDB20_DAILY,2022/08/23-356,incr1,FileSystem,tclqaecdb20c.delphidrive.com,/,Completed,8/23/2022 7:01:45 PM
CDC_UNX_TCLQAECDB2_DAILY,2022/08/23-360,incr1,FileSystem,tclqaecdb2c.delphidrive.com,/var/log/audit,Completed,8/23/2022 7:01:48 PM
CDC_UNX_TCLQAECDB2_DAILY,2022/08/23-360,incr1,FileSystem,tclqaecdb2c.delphidrive.com,/var/crash,Completed,8/23/2022 7:01:48 PM
CDC_UNX_TCLQAECDB2_DAILY,2022/08/23-360,incr1,FileSystem,tclqaecdb2c.delphidrive.com,/boot/efi,Completed,8/23/2022 7:01:48 PM
CDC_UNX_TCLQAECDB2_DAILY,2022/08/23-360,incr1,FileSystem,tclqaecdb2c.delphidrive.com,/usr/sap/DAA,Completed,8/23/2022 7:01:48 PM
CDC_UNX_TCLQAECDB2_DAILY,2022/08/23-360,incr1,FileSystem,tclqaecdb2c.delphidrive.com,/usr/sap/RE1,Completed,8/23/2022 7:01:48 PM
CDC_UNX_TCLQAECDB2_DAILY,2022/08/23-360,incr1,FileSystem,tclqaecdb2c.delphidrive.com,/opt/hpom,Completed,8/23/2022 7:01:48 PM
CDC_UNX_TCLQAECDB2_DAILY,2022/08/23-360,incr1,FileSystem,tclqaecdb2c.delphidrive.com,/usr/sap,Completed,8/23/2022 7:01:48 PM
CDC_UNX_TCLQAECDB2_DAILY,2022/08/23-360,incr1,FileSystem,tclqaecdb2c.delphidrive.com,/sapmnt,Completed,8/23/2022 7:01:48 PM
CDC_UNX_TCLQAECDB2_DAILY,2022/08/23-360,incr1,FileSystem,tclqaecdb2c.delphidrive.com,/oracle,Completed,8/23/2022 7:01:48 PM
CDC_UNX_TCLQAECDB2_DAILY,2022/08/23-360,incr1,FileSystem,tclqaecdb2c.delphidrive.com,/boot,Completed,8/23/2022 7:01:48 PM
CDC_UNX_TCLQAECDB2_DAILY,2022/08/23-360,incr1,FileSystem,tclqaecdb2c.delphidrive.com,/home,Completed,8/23/2022 7:01:48 PM
CDC_UNX_TCLQAECDB2_DAILY,2022/08/23-360,incr1,FileSystem,tclqaecdb2c.delphidrive.com,/tmp,Completed,8/23/2022 7:01:48 PM
CDC_UNX_TCLQAECDB2_DAILY,2022/08/23-360,incr1,FileSystem,tclqaecdb2c.delphidrive.com,/var,Completed/Error,8/23/2022 7:01:48 PM
CDC_UNX_TCLQAECDB2_DAILY,2022/08/23-360,incr1,FileSystem,tclqaecdb2c.delphidrive.com,/,Completed,8/23/2022 7:01:48 PM
CDC_UNX_TCLQANFS3_DAILY,2022/08/23-392,incr1,FileSystem,tclqanfs3c.delphidrive.com,/QE1/saparchive2,Completed,8/23/2022 8:02:12 PM
CDC_UNX_TCLQANFS3_DAILY,2022/08/23-392,incr1,FileSystem,tclqanfs3c.delphidrive.com,/RE1/saparchive2,Completed,8/23/2022 8:02:12 PM
CDC_UNX_TCLQANFS3_DAILY,2022/08/23-392,incr1,FileSystem,tclqanfs3c.delphidrive.com,/DE1/saparchive5,Completed,8/23/2022 8:02:12 PM
CDC_UNX_TCLQANFS3_DAILY,2022/08/23-392,incr1,FileSystem,tclqanfs3c.delphidrive.com,/RE1/saparchive4,Completed,8/23/2022 8:02:12 PM
CDC_UNX_TCLQANFS3_DAILY,2022/08/23-392,incr1,FileSystem,tclqanfs3c.delphidrive.com,/RE1/saparchive5,Completed,8/23/2022 8:02:12 PM
CDC_UNX_TCLQANFS3_DAILY,2022/08/23-392,incr1,FileSystem,tclqanfs3c.delphidrive.com,/DE1/saparchive3,Completed,8/23/2022 8:02:12 PM
CDC_UNX_TCLQANFS3_DAILY,2022/08/23-392,incr1,FileSystem,tclqanfs3c.delphidrive.com,/QE1/saparchive5,Completed,8/23/2022 8:02:12 PM
CDC_UNX_TCLQANFS3_DAILY,2022/08/23-392,incr1,FileSystem,tclqanfs3c.delphidrive.com,/QE1/saparchive3,Completed,8/23/2022 8:02:12 PM
CDC_UNX_TCLQANFS3_DAILY,2022/08/23-392,incr1,FileSystem,tclqanfs3c.delphidrive.com,/DE1/saparchive4,Completed,8/23/2022 8:02:12 PM
CDC_UNX_TCLQANFS3_DAILY,2022/08/23-392,incr1,FileSystem,tclqanfs3c.delphidrive.com,/RE1/saparchive3,Completed,8/23/2022 8:02:12 PM
CDC_UNX_TCLQANFS3_DAILY,2022/08/23-392,incr1,FileSystem,tclqanfs3c.delphidrive.com,/RE1/saparchive,Completed,8/23/2022 8:02:12 PM
CDC_UNX_TCLQANFS3_DAILY,2022/08/23-392,incr1,FileSystem,tclqanfs3c.delphidrive.com,/QE1/saparchive,Completed,8/23/2022 8:02:12 PM
CDC_UNX_TCLQANFS3_DAILY,2022/08/23-392,incr1,FileSystem,tclqanfs3c.delphidrive.com,/SE1/saparchive,Completed,8/23/2022 8:02:12 PM
CDC_UNX_TCLQANFS3_DAILY,2022/08/23-392,incr1,FileSystem,tclqanfs3c.delphidrive.com,/DE1/saparchive,Completed,8/23/2022 8:02:12 PM
CDC_UNX_TCLQANFS3_DAILY,2022/08/23-392,incr1,FileSystem,tclqanfs3c.delphidrive.com,/usr/sap/trans,Completed,8/23/2022 8:02:12 PM
CDC_UNX_TCLQANFS3_DAILY,2022/08/23-392,incr1,FileSystem,tclqanfs3c.delphidrive.com,/var/log/audit,Completed,8/23/2022 8:02:12 PM
CDC_UNX_TCLQANFS3_DAILY,2022/08/23-392,incr1,FileSystem,tclqanfs3c.delphidrive.com,/usr/sap/QCS,Completed,8/23/2022 8:02:12 PM
CDC_UNX_TCLQANFS3_DAILY,2022/08/23-392,incr1,FileSystem,tclqanfs3c.delphidrive.com,/sapmnt/QCS,Completed,8/23/2022 8:02:12 PM
CDC_UNX_TCLQANFS3_DAILY,2022/08/23-392,incr1,FileSystem,tclqanfs3c.delphidrive.com,/var/crash,Completed,8/23/2022 8:02:12 PM
CDC_UNX_TCLQANFS3_DAILY,2022/08/23-392,incr1,FileSystem,tclqanfs3c.delphidrive.com,/volbac,Completed,8/23/2022 8:02:12 PM
CDC_UNX_TCLQANFS3_DAILY,2022/08/23-392,incr1,FileSystem,tclqanfs3c.delphidrive.com,/sapdb,Completed,8/23/2022 8:02:12 PM
CDC_UNX_TCLQANFS3_DAILY,2022/08/23-392,incr1,FileSystem,tclqanfs3c.delphidrive.com,/boot,Completed,8/23/2022 8:02:12 PM
CDC_UNX_TCLQANFS3_DAILY,2022/08/23-392,incr1,FileSystem,tclqanfs3c.delphidrive.com,/home,Completed,8/23/2022 8:02:12 PM
CDC_UNX_TCLQANFS3_DAILY,2022/08/23-392,incr1,FileSystem,tclqanfs3c.delphidrive.com,/var,Completed/Error,8/23/2022 8:02:12 PM
CDC_UNX_TCLQANFS3_DAILY,2022/08/23-392,incr1,FileSystem,tclqanfs3c.delphidrive.com,/tmp,Completed,8/23/2022 8:02:12 PM
CDC_UNX_TCLQANFS3_DAILY,2022/08/23-392,incr1,FileSystem,tclqanfs3c.delphidrive.com,/,Completed,8/23/2022 8:02:12 PM
CDC_UNX_TCUDVR3DB_DAILY,2022/08/23-408,incr1,FileSystem,tcudvr3dbc.delphidrive.com,/var/adm/crash,Completed,8/23/2022 8:01:27 PM
CDC_UNX_TCUDVR3DB_DAILY,2022/08/23-408,incr1,FileSystem,tcudvr3dbc.delphidrive.com,/usr/sap/DV1,Completed,8/23/2022 8:01:27 PM
CDC_UNX_TCUDVR3DB_DAILY,2022/08/23-408,incr1,FileSystem,tcudvr3dbc.delphidrive.com,/usr/sap/DAA,Completed,8/23/2022 8:01:27 PM
CDC_UNX_TCUDVR3DB_DAILY,2022/08/23-408,incr1,FileSystem,tcudvr3dbc.delphidrive.com,/var/adm/sw,Completed,8/23/2022 8:01:27 PM
CDC_UNX_TCUDVR3DB_DAILY,2022/08/23-408,incr1,FileSystem,tcudvr3dbc.delphidrive.com,/export/sapmnt/DV1,Completed,8/23/2022 8:01:27 PM
CDC_UNX_TCUDVR3DB_DAILY,2022/08/23-408,incr1,FileSystem,tcudvr3dbc.delphidrive.com,/opt/dazel,Completed,8/23/2022 8:01:27 PM
CDC_UNX_TCUDVR3DB_DAILY,2022/08/23-408,incr1,FileSystem,tcudvr3dbc.delphidrive.com,/var/opt,Completed,8/23/2022 8:01:27 PM
CDC_UNX_TCUDVR3DB_DAILY,2022/08/23-408,incr1,FileSystem,tcudvr3dbc.delphidrive.com,/usr/sap,Completed,8/23/2022 8:01:27 PM
CDC_UNX_TCUDVR3DB_DAILY,2022/08/23-408,incr1,FileSystem,tcudvr3dbc.delphidrive.com,/sapmnt,Completed,8/23/2022 8:01:27 PM
CDC_UNX_TCUDVR3DB_DAILY,2022/08/23-408,incr1,FileSystem,tcudvr3dbc.delphidrive.com,/oracle,Completed,8/23/2022 8:01:27 PM
CDC_UNX_TCUDVR3DB_DAILY,2022/08/23-408,incr1,FileSystem,tcudvr3dbc.delphidrive.com,/stand,Completed,8/23/2022 8:01:27 PM
CDC_UNX_TCUDVR3DB_DAILY,2022/08/23-408,incr1,FileSystem,tcudvr3dbc.delphidrive.com,/home,Completed,8/23/2022 8:01:27 PM
CDC_UNX_TCUDVR3DB_DAILY,2022/08/23-408,incr1,FileSystem,tcudvr3dbc.delphidrive.com,/var,Completed/Error,8/23/2022 8:01:27 PM
CDC_UNX_TCUDVR3DB_DAILY,2022/08/23-408,incr1,FileSystem,tcudvr3dbc.delphidrive.com,/usr,Completed,8/23/2022 8:01:27 PM
CDC_UNX_TCUDVR3DB_DAILY,2022/08/23-408,incr1,FileSystem,tcudvr3dbc.delphidrive.com,/tmp,Completed,8/23/2022 8:01:27 PM
CDC_UNX_TCUDVR3DB_DAILY,2022/08/23-408,incr1,FileSystem,tcudvr3dbc.delphidrive.com,/opt,Completed,8/23/2022 8:01:27 PM
CDC_UNX_TCUDVR3DB_DAILY,2022/08/23-408,incr1,FileSystem,tcudvr3dbc.delphidrive.com,/,Completed,8/23/2022 8:01:27 PM
CDC_UNX_TCUQAR3DB1_DAILY,2022/08/23-421,incr1,FileSystem,tcuqar3db1c.delphidrive.com,/tmp/sapdata1,Completed,8/23/2022 9:03:15 PM
CDC_UNX_TCUQAR3DB1_DAILY,2022/08/23-421,incr1,FileSystem,tcuqar3db1c.delphidrive.com,/tmp/sapdata2,Completed,8/23/2022 9:03:15 PM
CDC_UNX_TCUQAR3DB1_DAILY,2022/08/23-421,incr1,FileSystem,tcuqar3db1c.delphidrive.com,/tmp/sapdata3,Completed,8/23/2022 9:03:15 PM
CDC_UNX_TCUQAR3DB1_DAILY,2022/08/23-421,incr1,FileSystem,tcuqar3db1c.delphidrive.com,/export/sapmnt/PR1,Completed,8/23/2022 9:03:15 PM
CDC_UNX_TCUQAR3DB1_DAILY,2022/08/23-421,incr1,FileSystem,tcuqar3db1c.delphidrive.com,/var/adm/crash,Completed,8/23/2022 9:03:15 PM
CDC_UNX_TCUQAR3DB1_DAILY,2022/08/23-421,incr1,FileSystem,tcuqar3db1c.delphidrive.com,/tmp/sapdata4,Completed,8/23/2022 9:03:15 PM
CDC_UNX_TCUQAR3DB1_DAILY,2022/08/23-421,incr1,FileSystem,tcuqar3db1c.delphidrive.com,/usr/sap/DAA,Completed,8/23/2022 9:03:15 PM
CDC_UNX_TCUQAR3DB1_DAILY,2022/08/23-421,incr1,FileSystem,tcuqar3db1c.delphidrive.com,/usr/sap/PR1,Completed,8/23/2022 9:03:15 PM
