"Specification","Session Id","Mode","BkpType","Client","Mount Point","Object Status","End Time"
"Oracle8 CDC_BKP_CAT_DE1_ARC_ST_FULL","2022/08/23-96","full","Completed","tcldvecdbc.delphidrive.com","NA","Oracle8","8/23/2022 5:31:16 AM"
"Oracle8 CDC_BKP_CAT_DE1_ARC_ST_FULL","2022/08/23-96","full","Completed","tcldvecdbc.delphidrive.com","NA","Oracle8","8/23/2022 5:31:16 AM"
"Oracle8 CDC_BKP_CAT_DE1_ARC_ST_FULL","2022/08/23-96","full","Completed","tcldvecdbc.delphidrive.com","NA","Oracle8","8/23/2022 5:31:16 AM"
"Oracle8 CDC_BKP_CAT_SCCST1_ARC_ST_FULL","2022/08/23-97","full","Completed","tclqasfdbc.delphidrive.com","NA","Oracle8","8/23/2022 5:30:44 AM"
"Oracle8 CDC_BKP_CAT_RE1_ARC_ST_FULL","2022/08/23-98","full","Completed","dtre1dbc.delphidrive.com","NA","Oracle8","8/23/2022 5:30:57 AM"
"Oracle8 CDC_BKP_CAT_RE1_ARC_ST_FULL","2022/08/23-98","full","Completed","dtre1dbc.delphidrive.com","NA","Oracle8","8/23/2022 5:30:57 AM"
"Oracle8 CDC_BKP_CAT_RE1_ARC_ST_FULL","2022/08/23-98","full","Completed","dtre1dbc.delphidrive.com","NA","Oracle8","8/23/2022 5:30:57 AM"
"Oracle8 CDC_BKP_CAT_SE1_ARC_ST_FULL","2022/08/23-99","full","Completed","tclsbecdb.delphidrive.com","NA","Oracle8","8/23/2022 5:31:13 AM"
"Oracle8 CDC_BKP_CAT_SE1_ARC_ST_FULL","2022/08/23-99","full","Completed","tclsbecdb.delphidrive.com","NA","Oracle8","8/23/2022 5:31:13 AM"
"Oracle8 CDC_BKP_CAT_SE1_ARC_ST_FULL","2022/08/23-99","full","Completed","tclsbecdb.delphidrive.com","NA","Oracle8","8/23/2022 5:31:13 AM"
"Oracle8 CDC_BKP_CAT_SFGST1_ARC_ST_FULL","2022/08/23-100","full","Completed","tclqasfdbc.delphidrive.com","NA","Oracle8","8/23/2022 5:32:44 AM"
"Oracle8 CDC_BKP_CAT_SFGST1_ARC_ST_FULL","2022/08/23-100","full","Completed","tclqasfdbc.delphidrive.com","NA","Oracle8","8/23/2022 5:32:44 AM"
"Oracle8 CDC_BKP_CAT_SFGST1_ARC_ST_FULL","2022/08/23-100","full","Completed","tclqasfdbc.delphidrive.com","NA","Oracle8","8/23/2022 5:32:44 AM"
"Oracle8 CDC_BKP_CAT_SFGST1_ARC_ST_FULL","2022/08/23-100","full","Completed","tclqasfdbc.delphidrive.com","NA","Oracle8","8/23/2022 5:32:44 AM"
"Oracle8 CDC_BKP_CAT_SFGST1_ARC_ST_FULL","2022/08/23-100","full","Completed","tclqasfdbc.delphidrive.com","NA","Oracle8","8/23/2022 5:32:44 AM"
