"Specification","Session Id","Mode","BkpType","Client","Mount Point","Object Status","End Time"
"Oracle8 SCC_BKP_CAT_IIBPR1_ARC_FULL_DAILY","2022/05/30-139","full","01C0196D-1E14-4AC4-A06F-CE2E68D185F8/43055465","tslpribdbc.delphidrive.com","","(O)","5/30/2022 10:01:24 AM"
"Oracle8 SCC_BKP_CAT_IIBPR1_ARC_FULL_DAILY","2022/05/30-139","full","01C0196D-1E14-4AC4-A06F-CE2E68D185F8/43055493","tslpribdbc.delphidrive.com","","(O)","5/30/2022 10:01:24 AM"
"Oracle8 SCC_BKP_CAT_SFGPR1_ARC_FULL_DAILY","2022/05/30-140","full","01C0196D-1E14-4AC4-A06F-CE2E68D185F8/43055408","tslprsfdbc.delphidrive.com","","(O)","5/30/2022 10:01:39 AM"
"Oracle8 SCC_BKP_CAT_SFGPR1_ARC_FULL_DAILY","2022/05/30-140","full","01C0196D-1E14-4AC4-A06F-CE2E68D185F8/43055412","tslprsfdbc.delphidrive.com","","(O)","5/30/2022 10:01:39 AM"
"Oracle8 SCC_BKP_CAT_SFGPR1_ARC_FULL_DAILY","2022/05/30-140","full","01C0196D-1E14-4AC4-A06F-CE2E68D185F8/43055414","tslprsfdbc.delphidrive.com","","(O)","5/30/2022 10:01:39 AM"
"Oracle8 SCC_BKP_CAT_SFGPR1_ARC_FULL_DAILY","2022/05/30-140","full","01C0196D-1E14-4AC4-A06F-CE2E68D185F8/43055416","tslprsfdbc.delphidrive.com","","(O)","5/30/2022 10:01:39 AM"
"Oracle8 SCC_BKP_CAT_SFGPR1_ARC_FULL_DAILY","2022/05/30-140","full","01C0196D-1E14-4AC4-A06F-CE2E68D185F8/43055512","tslprsfdbc.delphidrive.com","","(O)","5/30/2022 10:01:39 AM"
"Oracle8 SCC_BKP_CAT_SCCPR1_ARC_FULL_DAILY","2022/05/30-141","full","01C0196D-1E14-4AC4-A06F-CE2E68D185F8/43055390","tslprsfdbc.delphidrive.com","","(O)","5/30/2022 10:00:52 AM"
"Oracle8 SCC_BKP_CAT_SCCPR1_ARC_FULL_DAILY","2022/05/30-141","full","01C0196D-1E14-4AC4-A06F-CE2E68D185F8/43055392","tslprsfdbc.delphidrive.com","","(O)","5/30/2022 10:00:52 AM"
"Oracle8 SCC_BKP_CAT_SCCPR1_ARC_FULL_DAILY","2022/05/30-141","full","01C0196D-1E14-4AC4-A06F-CE2E68D185F8/43055394","tslprsfdbc.delphidrive.com","","(O)","5/30/2022 10:00:52 AM"
"Oracle8 SCC_BKP_CAT_SCCPR1_ARC_FULL_DAILY","2022/05/30-141","full","01C0196D-1E14-4AC4-A06F-CE2E68D185F8/43055438","tslprsfdbc.delphidrive.com","","(O)","5/30/2022 10:00:52 AM"
"Oracle8 SCC_BKP_CAT_PN1_ARC_FULL_DAILY","2022/05/30-142","full","01C0196D-1E14-4AC4-A06F-CE2E68D185F8/43055368","dtpn1dbc.delphidrive.com","","(O)","5/30/2022 10:02:28 AM"
"Oracle8 SCC_BKP_CAT_PN1_ARC_FULL_DAILY","2022/05/30-142","full","01C0196D-1E14-4AC4-A06F-CE2E68D185F8/43055522","dtpn1dbc.delphidrive.com","","(O)","5/30/2022 10:02:28 AM"
"Oracle8 SCC_BKP_CAT_PN1_ARC_FULL_DAILY","2022/05/30-142","full","Control","dtpn1dbc.delphidrive.com","","File","5/30/2022 10:02:28 AM"
"Oracle8 SCC_BKP_CAT_PR1_ARC_FULL_DAILY","2022/05/30-143","full","01C0196D-1E14-4AC4-A06F-CE2E68D185F8/43055479","dtpr1dbc.delphidrive.com","","(O)","5/30/2022 10:04:35 AM"
"Oracle8 SCC_BKP_CAT_PR1_ARC_FULL_DAILY","2022/05/30-143","full","01C0196D-1E14-4AC4-A06F-CE2E68D185F8/43055607","dtpr1dbc.delphidrive.com","","(O)","5/30/2022 10:04:35 AM"
"Oracle8 GSL10304_ROIADB01_IASIPUMP_RMAN_ONL_ST","2022/05/30-144","full","01C0196D-1E14-4AC4-A06F-CE2E68D185F8/43055432","roiadb01.delphidrive.com","","(O)","5/30/2022 7:49:17 PM"
"Oracle8 GSL10304_ROIADB01_IASIPUMP_RMAN_ONL_ST","2022/05/30-144","full","01C0196D-1E14-4AC4-A06F-CE2E68D185F8/43075664","roiadb01.delphidrive.com","","(O)","5/30/2022 7:49:17 PM"
"Oracle8 GSL10304_ROIADB01_IASIPUMP_RMAN_ONL_ST","2022/05/30-144","full","01C0196D-1E14-4AC4-A06F-CE2E68D185F8/43075671","roiadb01.delphidrive.com","","(O)","5/30/2022 7:49:17 PM"
"Oracle8 GSL10304_ROIADB01_IASIPUMP_RMAN_ONL_ST","2022/05/30-144","full","01C0196D-1E14-4AC4-A06F-CE2E68D185F8/43075692","roiadb01.delphidrive.com","","(O)","5/30/2022 7:49:17 PM"
"Oracle8 GSL10092_MXCHJRZP-DB02_BTRCRPR_RMAN_ARC_ST","2022/05/30-145","full","01C0196D-1E14-4AC4-A06F-CE2E68D185F8/43055477","mxchjrzp-db02.delphidrive.com","","(O)","5/30/2022 10:02:26 AM"
"Oracle8 GSL10092_MXCHJRZP-DB02_BTRCRPR_RMAN_ARC_ST","2022/05/30-145","full","01C0196D-1E14-4AC4-A06F-CE2E68D185F8/43055526","mxchjrzp-db02.delphidrive.com","","(O)","5/30/2022 10:02:26 AM"
"Oracle8 GSL10092_MXCHJRZP-DB02_BTRCRPR_RMAN_ARC_ST","2022/05/30-145","full","Control","mxchjrzp-db02.delphidrive.com","","File","5/30/2022 10:02:26 AM"
"Oracle8 SCC_BKP_CAT_PG1_ARC_FULL_DAILY","2022/05/30-146","full","01C0196D-1E14-4AC4-A06F-CE2E68D185F8/43055384","tslprgrdb.delphidrive.com","","(O)","5/30/2022 10:01:16 AM"
"Oracle8 SCC_BKP_CAT_PG1_ARC_FULL_DAILY","2022/05/30-146","full","01C0196D-1E14-4AC4-A06F-CE2E68D185F8/43055435","tslprgrdb.delphidrive.com","","(O)","5/30/2022 10:01:16 AM"
"Oracle8 SCC_BKP_CAT_PG1_ARC_FULL_DAILY","2022/05/30-146","full","Control","tslprgrdb.delphidrive.com","","File","5/30/2022 10:01:16 AM"
"Oracle8 SCC_BKP_CAT_PP1_ARC_FULL_DAILY","2022/05/30-147","full","01C0196D-1E14-4AC4-A06F-CE2E68D185F8/43055378","tslprepdbc.delphidrive.com","","(O)","5/30/2022 10:01:01 AM"
"Oracle8 SCC_BKP_CAT_PP1_ARC_FULL_DAILY","2022/05/30-147","full","01C0196D-1E14-4AC4-A06F-CE2E68D185F8/43055430","tslprepdbc.delphidrive.com","","(O)","5/30/2022 10:01:01 AM"
"Oracle8 SCC_BKP_CAT_PP1_ARC_FULL_DAILY","2022/05/30-147","full","Control","tslprepdbc.delphidrive.com","","File","5/30/2022 10:01:01 AM"
"Oracle8 SCC_BKP_CAT_STRLGPR_RAC_ARC_FULL_DAILY","2022/05/30-149","full","01C0196D-1E14-4AC4-A06F-CE2E68D185F8/43056008","tslprraps1.delphidrive.com","","(O)","5/30/2022 10:17:28 AM"
