"Specification","Session Id","Mode","BkpType","Client","Mount Point","Object Status","End Time"
"GSL_10699_USINKOKP-AP03_WEEKLY","2022/06/14-122","full","Type","Object Name                         Object Type     Object Status     CopyID","","Object","-"
"GSL_10699_USINKOKP-AP03_WEEKLY","2022/06/14-122","full","Type","===============================================================================","","Object","-"
"GSL_10699_USINKOKP-AP03_WEEKLY","2022/06/14-122","full","WinFS","usinkokp-ap03.delphidrive.com","/I","Failed","-"
"GSL_10699_USINKOKP-AP03_WEEKLY","2022/06/14-122","full","WinFS","usinkokp-ap03.delphidrive.com","/L","Aborted","-"
"GSL_10699_USINKOKP-AP03_WEEKLY","2022/06/14-122","full","Type","Object Name                         Object Type     Object Status     CopyID","","Object","-"
"GSL_10699_USINKOKP-AP03_WEEKLY","2022/06/14-122","full","Type","===============================================================================","","Object","-"
"GSL_10699_USINKOKP-AP03_WEEKLY","2022/06/14-122","full","WinFS","usinkokp-ap03.delphidrive.com","/I","Failed","-"
"GSL_10699_USINKOKP-AP03_WEEKLY","2022/06/14-122","full","WinFS","usinkokp-ap03.delphidrive.com","/L","Aborted","-"
"GSL_10699_USINKOKP-AP03_WEEKLY","2022/06/14-122","full","Type","Object Name                         Object Type     Object Status     CopyID","","Object","-"
"GSL_10699_USINKOKP-AP03_WEEKLY","2022/06/14-122","full","Type","===============================================================================","","Object","-"
"GSL_10699_USINKOKP-AP03_WEEKLY","2022/06/14-122","full","WinFS","usinkokp-ap03.delphidrive.com","/I","Failed","-"
"GSL_10699_USINKOKP-AP03_WEEKLY","2022/06/14-122","full","WinFS","usinkokp-ap03.delphidrive.com","/L","Aborted","-"
"SCC_UNX_TSLPRECAP1_DAILY","2022/06/14-288","incr1","Type","Object Name                         Object Type     Object Status     CopyID","","Object","6/14/2022 6:01:46 PM"
"SCC_UNX_TSLPRECAP1_DAILY","2022/06/14-288","incr1","Type","===============================================================================","","Object","6/14/2022 6:01:46 PM"
"SCC_UNX_TSLPRECAP1_DAILY","2022/06/14-288","incr1","FileSystem","tslprecap1c.delphidrive.com","/var/log/audit","Completed","6/14/2022 6:01:46 PM"
"SCC_UNX_TSLPRECAP1_DAILY","2022/06/14-288","incr1","FileSystem","tslprecap1c.delphidrive.com","/usr/sap/PN1","Completed","6/14/2022 6:01:46 PM"
