Server,Domain Name,Media Server,Group,Schedule,Client,Job,Proxy,Status,Error Code,Error Code Summary,Status Code,Status Code Summary,Level,Size (TB),Files,Num Files Not Backed Up,Ran In Window,Time Out Of Window (day),Out Of Window Reason,Started,Finished,Duration (day),Throughput (MB/sec),Retention (week),Expires,Owner,Valid Level,Valid Retention,Compliant,Policy Used,Effective Path,Plugin Name,Bytes Modified Sent (GB),Bytes Modified Not Sent (TB),Parent Job Id
gdehgb01.utcain.com,/Germany/Hamburg,gdehgb01.utcain.com,UTC-ServerFile-S20-RD30,S20,gdehga02.utcapp.com,Windows File System-ALL,,success,0,Administrative code.,30000,Activity completed successfully.,Full,0,8772751,0,True,,,12/25/21 8:00 PM,12/25/21 10:42 PM,2 hours 42 minutes,0.032,4 weeks 1 day,1/24/22 8:00 PM,,True,True,True,UTC Window France.UTC Window France,/UTC-ServerFile,Windows File System,0.307,0.001,
gdehgb01.utcain.com,/Germany/Hamburg,gdehgb01.utcain.com,UTC-ServerFile-S20-RD30,S20,gdehga02.utcapp.com,Windows VSS-ALL,,success,0,Administrative code.,30000,Activity completed successfully.,Full,0.002,257647,0,True,,,12/25/21 10:42 PM,12/25/21 10:55 PM,12 minutes 57 seconds,2.179,4 weeks 1 day,1/24/22 8:00 PM,,True,True,True,UTC Window France.UTC Window France,/UTC-ServerFile,Windows VSS,1.653,0.001,
gdehgb01.utcain.com,/Germany/Hamburg,gdehgb01.utcain.com,UTC-ServerFile-S20-RD30,S20,gdehgd01.utcain.com,Windows File System-ALL,,success,0,Administrative code.,30000,Activity completed successfully.,Full,0,202700,0,True,,,12/25/21 8:00 PM,12/25/21 8:05 PM,5 minutes 58 seconds,1.148,4 weeks 1 day,1/24/22 8:00 PM,,True,True,True,UTC Window France.UTC Window France,/UTC-ServerFile,Windows File System,0.401,0.001,
gdehgb01.utcain.com,/Germany/Hamburg,gdehgb01.utcain.com,UTC-ServerFile-S20-RD30,S20,gdehgd01.utcain.com,Windows VSS-ALL,,failed,10007,Command failed: Miscellaneous error,30999,Activity failed - client error(s).,Full,0,205401,0,True,,,12/25/21 8:06 PM,12/25/21 8:18 PM,12 minutes 14 seconds,0.451,4 weeks 1 day,1/24/22 8:00 PM,,True,True,True,UTC Window France.UTC Window France,/UTC-ServerFile,Windows VSS,0.323,0,
gdehgb01.utcain.com,/Germany/Hamburg,gdehgb01.utcain.com,UTC-ServerFile-S20-RD30,S20,gdehgf01.utcain.com,Windows File System-ALL,,success,0,Administrative code.,30000,Activity completed successfully.,Full,0,1700667,0,True,,,12/25/21 8:17 PM,12/25/21 8:45 PM,28 minutes 44 seconds,0.003,4 weeks 1 day,1/24/22 8:00 PM,,True,True,True,UTC Window France.UTC Window France,/UTC-ServerFile,Windows File System,0.006,0,
gdehgb01.utcain.com,/Germany/Hamburg,gdehgb01.utcain.com,UTC-ServerFile-S20-RD30,S20,gdehgf01.utcain.com,Windows VSS-ALL,,success,0,Administrative code.,30000,Activity completed successfully.,Full,0.001,323479,0,True,,,12/25/21 8:00 PM,12/25/21 8:16 PM,16 minutes 57 seconds,1.389,4 weeks 1 day,1/24/22 8:00 PM,,True,True,True,UTC Window France.UTC Window France,/UTC-ServerFile,Windows VSS,1.38,0.001,
gdehgb01.utcain.com,/Germany/Hamburg,gdehgb01.utcain.com,UTC-ServerFile-S20-RD30,S20,gdehgw01.utcain.com,Windows File System-ALL,,success,0,Administrative code.,30000,Activity completed successfully.,Full,0,343183,0,True,,,12/25/21 8:19 PM,12/25/21 8:27 PM,8 minutes 13 seconds,0.018,4 weeks 1 day,1/24/22 8:00 PM,,True,True,True,UTC Window France.UTC Window France,/UTC-ServerFile,Windows File System,0.009,0.002,
gdehgb01.utcain.com,/Germany/Hamburg,gdehgb01.utcain.com,UTC-ServerFile-S20-RD30,S20,gdehgw01.utcain.com,Windows VSS-ALL,,success,0,Administrative code.,30000,Activity completed successfully.,Full,0.001,323931,0,True,,,12/25/21 8:00 PM,12/25/21 8:19 PM,19 minutes 4 seconds,0.87,4 weeks 1 day,1/24/22 8:00 PM,,True,True,True,UTC Window France.UTC Window France,/UTC-ServerFile,Windows VSS,0.972,0.003,
gdernb01.utcain.com,/Germany/UTC/Ratingen_4685,gdernb01.utcain.com,UTC-ServerFile-S20-RD90,S20,gderna05.utcain.com,Windows File System-ALL,,success,0,Administrative code.,30000,Activity completed successfully.,Full,0,1086004,0,True,,,12/25/21 10:17 PM,12/26/21 12:08 AM,1 hour 50 minutes,0.004,12 weeks 5 days,3/25/22 8:00 PM,,True,True,True,UTC Window France.UTC Window France,/UTC-ServerFile,Windows File System,0.028,0.002,
gdernb01.utcain.com,/Germany/UTC/Ratingen_4685,gdernb01.utcain.com,UTC-ServerFile-S20-RD90,S20,gderna05.utcain.com,Windows VSS-ALL,,success,0,Administrative code.,30000,Activity completed successfully.,Full,0.003,1088351,0,True,,,12/25/21 8:00 PM,12/25/21 10:16 PM,2 hours 16 minutes,0.383,12 weeks 5 days,3/25/22 8:00 PM,,True,True,True,UTC Window France.UTC Window France,/UTC-ServerFile,Windows VSS,3.077,0.001,
