Client_Name,Error_Code,Status,Last_Full_Date,Last_Full_Size,Gap_In_Full,Last_Incr_Date,Incr_Size,Incr_gap
BASAONBOT,0,Successfull,09/17/2021,34440702,4,09/20/2021,998280,1
BASAONCORADCV01,0,Successfull,09/17/2021,26382392,4,09/20/2021,1966791,1
BASAONCORADCV02,0,Successfull,09/17/2021,23873762,4,09/20/2021,1996672,1
BASAONCORCDCV01,0,Successfull,09/17/2021,26613077,4,09/20/2021,1836664,1
BASAONCORCDCV02,0,Successfull,09/17/2021,24706558,4,09/20/2021,1602132,1
BASAONCORCSFV02,0,Successfull,09/17/2021,39757499,4,09/20/2021,1402460,1
BASAONCORCSFV03,0,Successfull,09/17/2021,24897652,4,09/20/2021,1579737,1
BASAONCORFPSV01,0,Successfull,09/17/2021,178121194,4,09/20/2021,23420602,1
BASAONCORPVSV01,0,Successfull,09/17/2021,206867845,4,09/20/2021,1338109,1
BASAONCORPVSV02,0,Successfull,09/17/2021,237474735,4,09/20/2021,1756766,1
BASAONCORSQLV01,0,Successfull,09/17/2021,66683597,4,09/20/2021,3115850,1
BASAONCORSQLV02,0,Successfull,09/17/2021,53836308,4,09/20/2021,939850,1
BASAONPRDADCV01,0,Successfull,09/17/2021,31526422,4,09/20/2021,2015527,1
BASAONPRDADCV02,0,Successfull,09/17/2021,24500031,4,09/20/2021,1973027,1
BASAONPRDDOCV01,0,Successfull,09/17/2021,78673821,4,09/20/2021,2971731,1
BASAONPRDDOCV02,0,Successfull,09/17/2021,82887614,4,09/20/2021,2887987,1
BASAONPRDDOCV03,0,Successfull,09/17/2021,94127185,4,09/20/2021,2854418,1
BASAONPRDDOCV04,0,Successfull,09/17/2021,89865504,4,09/20/2021,2920405,1
BASAONPRDDOCV05,0,Successfull,09/17/2021,82784792,4,09/20/2021,2033201,1
BASAONPRDDOCV06,0,Successfull,09/17/2021,84699889,4,09/20/2021,2125521,1
BASAONPRDDOCV07,0,Successfull,09/17/2021,82967977,4,09/20/2021,2226448,1
BASAONPRDDOCV08,0,Successfull,09/17/2021,82587170,4,09/20/2021,3022417,1
BASAONPRDFPSV01,0,Successfull,09/17/2021,593317705,4,09/20/2021,4473302,1
BASAONPRDMSGV01,0,Successfull,09/17/2021,59409203,4,09/20/2021,2612615,1
BASAONPRDPPSV01,0,Successfull,09/18/2021,69607009,3,09/20/2021,2225738,1
BASAPODEVSQLV01,0,Successfull,09/17/2021,138636093,4,09/20/2021,25961346,1
BASAPOIMGCTXV01,0,Successfull,09/17/2021,63665172,4,09/20/2021,105,1
BASAPOIMGCXAV03,0,Successfull,09/17/2021,45176037,4,09/20/2021,1056747,1
BASAPOPRDAAV01,0,Successfull,09/17/2021,20337489,4,09/20/2021,2420015,1
BASAPOPRDADCV01,0,Successfull,09/17/2021,34589986,4,09/20/2021,5025040,1
BASAPOPRDADCV02,0,Successfull,09/17/2021,30261805,4,09/20/2021,2401473,1
BASAPOPRDAPPV12,0,Successfull,09/17/2021,53575846,4,09/20/2021,2274871,1
BASAPOPRDAPPV23,0,Successfull,09/17/2021,480692125,4,09/20/2021,175940780,1
BASAPOPRDAPPV31,0,Successfull,09/17/2021,35892705,4,09/20/2021,2737177,1
BASAPOPRDAPPV33,0,Successfull,09/17/2021,301746885,4,09/20/2021,2512304,1
BASAPOPRDCDCV03,0,Successfull,09/17/2021,30377782,4,09/20/2021,2542081,1
BASAPOPRDCDCV04,0,Successfull,09/17/2021,36307061,4,09/20/2021,2463397,1
BASAPOPRDCXLV01,0,Successfull,09/17/2021,29406137,4,09/20/2021,2557505,1
BASAPOPRDCXSQL1,0,Successfull,09/17/2021,50015658,4,09/20/2021,13162873,1
BASAPOPRDFASV01,0,Successfull,09/17/2021,17598883,4,09/20/2021,2394956,1
BASAPOPRDFASV02,0,Successfull,09/17/2021,19684579,4,09/20/2021,2475088,1
BASAPOPRDFSWV01,0,Successfull,09/17/2021,16360179,4,09/20/2021,1157677,1
BASAPOPRDPVSV03,0,Successfull,09/17/2021,402822529,4,09/20/2021,2279390,1
BASAPOPRDPVSV04,0,Successfull,09/17/2021,322937976,4,09/20/2021,2205040,1
BASAPOPRDSFSV03,0,Successfull,09/17/2021,24368063,4,09/20/2021,2203115,1
BASAPOPRDSFSV04,0,Successfull,09/17/2021,36841805,4,09/20/2021,2178584,1
BASAPOPRDSQLV01,0,Successfull,09/17/2021,1616676768,4,09/20/2021,971502864,1
BASAPOPRDSQLV02,0,Successfull,09/17/2021,1594290567,4,09/20/2021,136266636,1
BASAPOPRDSQLV07,0,Successfull,09/17/2021,152389090,4,09/20/2021,8097765,1
BASAPOPRDSQLV09,0,Successfull,09/17/2021,1236805284,4,09/20/2021,45142268,1
BASAPOPRDSQLV11,0,Successfull,09/17/2021,455030235,4,09/20/2021,278754061,1
BASAPOPRDSQLV13,0,Successfull,09/17/2021,47448916,4,09/20/2021,3307499,1
BASAPOPRDSQLV15,0,Successfull,09/17/2021,1080169829,4,09/20/2021,418880618,1
BASAPOPRDSQLV23,0,Successfull,09/17/2021,1618654134,4,09/21/2021,341929429,0
BASAPOPRDSQLV24,0,Successfull,09/17/2021,294474485,4,09/20/2021,30267996,1
BASAPOPRDSQLV25,0,Successfull,09/17/2021,174375941,4,09/20/2021,18389240,1
BASAPOPRDSQLV26,0,Successfull,09/17/2021,113108924,4,09/20/2021,5981469,1
BASAPOPRDWEBV01,0,Successfull,09/17/2021,35969982,4,09/20/2021,1718469,1
BASMGAPRDAPPV01,0,Successfull,09/17/2021,56138299,4,09/20/2021,3333093,1
BASMGAPRDCACV01,0,Successfull,09/17/2021,23573864,4,09/20/2021,1631279,1
BASMGAPRDFPSV01,0,Successfull,09/17/2021,295774462,4,09/20/2021,15492193,1
BASMGAPRDRDSV01,0,Successfull,09/17/2021,24651964,4,09/20/2021,1610931,1
BASMGAPRDSQLV01,0,Successfull,09/17/2021,1674276237,4,09/16/2021,237942272,5
BASMGAPRDWEBV01,0,Successfull,09/17/2021,41330127,4,09/20/2021,1480114,1
BASMGAPRDWEBV02,0,Successfull,09/17/2021,51522726,4,09/20/2021,1766737,1
NONE,0,Successfull,NA,NA,NA,NA,NA,NA
basaonprdofsv01.be.xchanginghosting.com,0,Successfull,09/17/2021,50099100,4,09/20/2021,4176205,1
basaonprdofsv02.be.xchanginghosting.com,0,Successfull,09/17/2021,70780296,4,09/20/2021,3781221,1
basaonprdofsv03.be.xchanginghosting.com,0,Successfull,09/17/2021,38477897,4,09/20/2021,4241208,1
basaonprdofsv04.be.xchanginghosting.com,0,Successfull,09/17/2021,41103713,4,09/20/2021,4208284,1
basaonprdorav01.be.xchanginghosting.com,0,Successfull,09/17/2021,418640963,4,09/20/2021,8237218,1
basaonprdorav02.be.xchanginghosting.com,0,Successfull,09/17/2021,44110584,4,09/20/2021,3511190,1
basaonprdorav03.be.xchanginghosting.com,0,Successfull,09/17/2021,31578252,4,09/20/2021,1212586,1
