Client_Name,Error_Code,Status,Last_Full_Date,Last_Full_Size,Gap_In_Full,Last_Incr_Date,Incr_Size,Incr_gap
ACT-XSTS-B64-03,0,Successfull,09/24/2021,34730190,4,09/27/2021,1513542,1
ACT-XSTS-B64-04,0,Successfull,09/24/2021,78370850,4,09/27/2021,5641039,1
ACT-XSTS-B64-MP,0,Successfull,09/24/2021,63979159,4,09/27/2021,2564210,1
ACT-XSTS-B64-PS,0,Successfull,09/24/2021,65189492,4,09/27/2021,283397,1
ACT-XSTS-B64-PT,0,Successfull,09/24/2021,226537857,4,09/27/2021,59971545,1
ACT-XSTS-BE-01,0,Successfull,09/24/2021,137805507,4,09/27/2021,2875461,1
ACT-XSTS-D64-01,0,Successfull,09/24/2021,374505776,4,09/27/2021,3605699,1
ACT-XSTS-MAN-01,0,Successfull,09/24/2021,75233599,4,09/27/2021,18010543,1
ACT-XSTS-WEB-01,0,Successfull,09/24/2021,72021990,4,09/27/2021,1906479,1
ACT-XSTS-XA-01,0,Successfull,09/24/2021,40015307,4,09/27/2021,1303178,1
ACTAONCORADCV02,0,Successfull,09/24/2021,25400708,4,09/27/2021,4264100,1
ACTAONCORADCV03,0,Successfull,09/24/2021,25002502,4,09/27/2021,4160103,1
ACTAONCORADCV04,0,Successfull,09/24/2021,23773181,4,09/27/2021,3994719,1
ACTAONCORADVV01,0,Successfull,09/24/2021,26050489,4,09/27/2021,4881523,1
ACTAONCORCDCV01,0,Successfull,09/24/2021,26270729,4,09/27/2021,3898840,1
ACTAONCORCDCV02,0,Successfull,09/24/2021,25984552,4,09/27/2021,3809505,1
ACTAONCORCSFV01,0,Successfull,09/24/2021,54132399,4,09/27/2021,3448501,1
ACTAONCORCSFV02,0,Successfull,09/24/2021,68864379,4,09/27/2021,3558336,1
ACTAONCORCTXV02,0,Successfull,09/24/2021,53066052,4,09/27/2021,2791716,1
ACTAONCORFPSV01,0,Successfull,09/24/2021,185086967,4,09/27/2021,36707164,1
ACTAONCORMANV01,0,Successfull,09/24/2021,40788260,4,09/27/2021,2163505,1
ACTAONCORMANV02,0,Successfull,09/24/2021,35840986,4,09/27/2021,2060577,1
ACTAONCORPVSV02,0,Successfull,09/24/2021,601846014,4,09/27/2021,6934555,1
ACTAONCORPVSV03,0,Successfull,09/24/2021,544657171,4,09/27/2021,6031587,1
ACTAONCORSQLV01,0,Successfull,09/24/2021,56200389,4,09/27/2021,8672762,1
ACTAONCORSQLV02,0,Successfull,09/24/2021,55940501,4,09/27/2021,8738074,1
ACTAONCORWEBV01,0,Successfull,09/24/2021,39340456,4,09/27/2021,2167559,1
