Client_Name,Error_Code,Status,Last_Full_Date,Last_Full_Size,Gap_In_Full,Last_Incr_Date,Incr_Size,Incr_gap
ACTBMCUATISNL01,0,Successfull,10/01/2021,9530762,6,10/06/2021,9461219,1
ACTCRETSCAPPV01,0,Successfull,10/01/2021,38842767,6,10/06/2021,38599254,1
ACTIMRDEVAPPV01,0,Successfull,10/01/2021,84303342,6,10/06/2021,84479508,1
ACTIMRTSCAPPL01,0,Successfull,10/01/2021,277004291,6,10/06/2021,276979346,1
ACTIMRTSCDATL01,0,Successfull,10/01/2021,84668673,6,10/06/2021,84741130,1
ACTMARLLVADCV01,0,Successfull,10/01/2021,45017503,6,10/06/2021,44369228,1
ACTMARUATBJSV01,0,Successfull,10/01/2021,180364761,6,10/06/2021,177746207,1
ACTMARUATDOCV02,0,Successfull,10/01/2021,56503435,6,10/06/2021,56219841,1
ACTMARUATMSGV01,0,Successfull,10/01/2021,42230318,6,10/06/2021,41991401,1
ACTMARUATMSGV02,0,Successfull,10/01/2021,25760098,6,10/06/2021,25471731,1
ACTMARUATOFSV03,0,Successfull,10/01/2021,49608795,6,10/06/2021,49199890,1
ACTMARUATOFSV04,0,Successfull,10/01/2021,44849996,6,10/06/2021,44473869,1
ACTMARUATPPSV02,0,Successfull,10/01/2021,54814362,6,10/06/2021,54478209,1
ACTOKTPRDAPPV02,0,Successfull,10/01/2021,40658300,6,10/06/2021,40405804,1
ACTOKTPRDAPPV03,0,Successfull,10/01/2021,40146585,6,10/06/2021,39969420,1
ACTOKTPRDAPPV04,0,Successfull,10/01/2021,39879027,6,10/06/2021,39622096,1
ACTPASDEVAPPL01,0,Successfull,10/01/2021,46522978,6,10/06/2021,46376067,1
ACTPASDREAPPL01,0,Successfull,10/01/2021,14684294,6,10/06/2021,14539148,1
ACTPASDREAPPL02,0,Successfull,10/01/2021,12190117,6,10/06/2021,12099485,1
ACTPASTSBAPPL01,0,Successfull,10/01/2021,46829238,6,10/06/2021,46642492,1
ACTPASTSCAPPL01,0,Successfull,10/01/2021,42208171,6,10/06/2021,42130687,1
ACTREPTSTAPPV01,0,Successfull,10/01/2021,121129159,6,10/06/2021,120404593,1
ACTREPUATAPPV01,0,Successfull,10/01/2021,246847967,6,10/06/2021,245693457,1
ACTSCADREAPPV01,0,Successfull,10/01/2021,19578559,6,10/06/2021,19300132,1
ACTSCADRESQLV01,0,Successfull,10/01/2021,40911954,6,10/06/2021,40574512,1
ACTTPETSBAPPV01,0,Successfull,10/01/2021,18697757,6,10/06/2021,18546224,1
ACTVCSTSBAPPV01,0,Successfull,10/02/2021,56713931,5,10/07/2021,56464723,0
ACTVCSTSBAPPV02,0,Successfull,10/02/2021,58280787,5,10/07/2021,58008711,0
ACTVCSTSBAPPV03,0,Successfull,10/02/2021,59725645,5,10/07/2021,59454661,0
ACTVCSTSBAPPV04,0,Successfull,10/02/2021,67007108,5,10/07/2021,66720500,0
ACTVCSTSBSQLV01,0,Successfull,10/02/2021,95833327,5,10/07/2021,95557676,0
ACTVCSTSBSQLV02,0,Successfull,10/02/2021,82411658,5,10/07/2021,82137515,0
ACTVCSTSBSQLV03,0,Successfull,10/02/2021,84873251,5,10/07/2021,84610777,0
ACTVCSTSCAPPV01,0,Successfull,10/01/2021,45151327,6,10/06/2021,44918269,1
