Client_Name,Error_Code,Status,Last_Full_Date,Last_Full_Size,Gap_In_Full,Last_Incr_Date,Incr_Size,Incr_gap
BASAONBOT,0,Successfull,09/24/2021,34458270,4,09/27/2021,983431,1
BASAONCORADCV01,0,Successfull,09/24/2021,26968483,4,09/27/2021,4732435,1
BASAONCORADCV02,0,Successfull,09/24/2021,24459599,4,09/27/2021,4098369,1
BASAONCORCDCV01,0,Successfull,09/24/2021,27258232,4,09/27/2021,4128908,1
BASAONCORCDCV02,0,Successfull,09/24/2021,25314743,4,09/27/2021,3848597,1
BASAONCORCSFV02,0,Successfull,09/24/2021,40446985,4,09/27/2021,3501406,1
BASAONCORCSFV03,0,Successfull,09/24/2021,25586207,4,09/27/2021,3262092,1
BASAONCORFPSV01,0,Successfull,09/24/2021,179966250,4,09/27/2021,33486533,1
BASAONCORPVSV01,0,Successfull,09/24/2021,207470102,4,09/27/2021,3658588,1
BASAONCORPVSV02,0,Successfull,09/24/2021,238083039,4,09/27/2021,4019396,1
BASAONCORSQLV01,0,Successfull,09/24/2021,70195256,4,09/27/2021,3371503,1
BASAONCORSQLV02,0,Successfull,09/24/2021,54718113,4,09/27/2021,1248948,1
BASAONPRDADCV01,0,Successfull,09/24/2021,32206480,4,09/27/2021,4440558,1
BASAONPRDADCV02,0,Successfull,09/24/2021,25114316,4,09/27/2021,4347117,1
BASAONPRDDOCV01,0,Successfull,09/24/2021,79253195,4,09/27/2021,3149286,1
BASAONPRDDOCV02,0,Successfull,09/24/2021,83528523,4,09/27/2021,3345381,1
BASAONPRDDOCV03,0,Successfull,09/24/2021,94775711,4,09/27/2021,3118015,1
BASAONPRDDOCV04,0,Successfull,09/24/2021,90352465,4,09/27/2021,3169794,1
BASAONPRDDOCV05,0,Successfull,09/24/2021,83275016,4,09/27/2021,3010499,1
BASAONPRDDOCV06,0,Successfull,09/24/2021,85387425,4,09/27/2021,3686536,1
BASAONPRDDOCV07,0,Successfull,09/24/2021,83621499,4,09/27/2021,3197571,1
BASAONPRDDOCV08,0,Successfull,09/24/2021,83153784,4,09/27/2021,3374276,1
BASAONPRDFPSV01,0,Successfull,09/24/2021,593890201,4,09/27/2021,4705069,1
BASAONPRDMSGV01,0,Successfull,09/24/2021,59394011,4,09/27/2021,3607128,1
BASAONPRDPPSV01,0,Successfull,09/25/2021,69992490,3,09/27/2021,2463744,1
BASAPODEVSQLV01,0,Successfull,09/24/2021,137477539,4,09/27/2021,24865191,1
BASAPOIMGCTXV01,0,Successfull,09/24/2021,63665172,4,09/27/2021,105,1
BASAPOIMGCXAV03,0,Successfull,09/24/2021,45192291,4,09/27/2021,318889,1
BASAPOPRDAAV01,0,Successfull,09/24/2021,22011665,4,09/27/2021,7658852,1
BASAPOPRDADCV01,0,Successfull,09/24/2021,35606520,4,09/27/2021,9114257,1
BASAPOPRDADCV02,0,Successfull,09/24/2021,31215100,4,09/27/2021,5895105,1
BASAPOPRDAPPV12,0,Successfull,09/24/2021,54966946,4,09/27/2021,9345681,1
BASAPOPRDAPPV23,0,Successfull,09/24/2021,481919951,4,09/27/2021,180382972,1
BASAPOPRDAPPV31,0,Successfull,09/24/2021,36866342,4,09/27/2021,7396877,1
BASAPOPRDAPPV33,0,Successfull,09/24/2021,404913249,4,09/27/2021,8100796,1
BASAPOPRDCDCV03,0,Successfull,09/24/2021,31976938,4,09/27/2021,7388784,1
BASAPOPRDCDCV04,0,Successfull,09/24/2021,38076519,4,09/27/2021,7502412,1
BASAPOPRDCXLV01,0,Successfull,09/24/2021,30180743,4,09/27/2021,7215261,1
BASAPOPRDCXSQL1,0,Successfull,09/24/2021,57284360,4,09/27/2021,22889430,1
BASAPOPRDFASV01,0,Successfull,09/24/2021,19261228,4,09/27/2021,6286964,1
BASAPOPRDFASV02,0,Successfull,09/24/2021,21350989,4,09/27/2021,6503320,1
BASAPOPRDFSWV01,0,Successfull,09/24/2021,18061567,4,09/27/2021,5270297,1
BASAPOPRDPVSV03,0,Successfull,09/24/2021,404610224,4,09/27/2021,7436113,1
BASAPOPRDPVSV04,0,Successfull,09/24/2021,324611877,4,09/27/2021,7617113,1
BASAPOPRDSFSV03,0,Successfull,09/24/2021,26168675,4,09/27/2021,6746540,1
BASAPOPRDSFSV04,0,Successfull,09/24/2021,38569629,4,09/27/2021,6942801,1
BASAPOPRDSQLV01,0,Successfull,09/24/2021,1619746360,4,09/27/2021,1569218339,1
BASAPOPRDSQLV02,0,Successfull,09/24/2021,1594663794,4,09/27/2021,705441893,1
BASAPOPRDSQLV07,0,Successfull,09/24/2021,154133848,4,09/27/2021,16907920,1
BASAPOPRDSQLV09,0,Successfull,09/24/2021,1237910958,4,09/27/2021,56294004,1
BASAPOPRDSQLV11,0,Successfull,09/17/2021,455030235,11,09/27/2021,421373242,1
BASAPOPRDSQLV13,0,Successfull,09/24/2021,48365321,4,09/27/2021,10812425,1
BASAPOPRDSQLV15,0,Successfull,09/24/2021,1135186552,4,09/27/2021,448910588,1
BASAPOPRDSQLV23,0,Successfull,09/24/2021,1810657033,4,09/23/2021,314493888,5
BASAPOPRDSQLV24,0,Successfull,09/24/2021,296036809,4,09/27/2021,153125205,1
BASAPOPRDSQLV25,0,Successfull,09/24/2021,179003958,4,09/27/2021,38043512,1
BASAPOPRDSQLV26,0,Successfull,09/24/2021,115363097,4,09/27/2021,47031291,1
BASAPOPRDWEBV01,0,Successfull,09/24/2021,36949310,4,09/27/2021,6100862,1
BASMGAPRDAPPV01,0,Successfull,09/24/2021,58034246,4,09/27/2021,2908981,1
BASMGAPRDCACV01,0,Successfull,09/24/2021,23560977,4,09/27/2021,691487,1
BASMGAPRDFPSV01,0,Successfull,09/24/2021,342061859,4,09/27/2021,14001895,1
BASMGAPRDRDSV01,0,Successfull,09/24/2021,24628224,4,09/27/2021,746192,1
BASMGAPRDSQLV01,0,Successfull,09/24/2021,1674287060,4,09/23/2021,239675639,5
BASMGAPRDWEBV01,0,Successfull,09/24/2021,41459576,4,09/27/2021,529280,1
BASMGAPRDWEBV02,0,Successfull,09/24/2021,51666416,4,09/27/2021,507648,1
NONE,0,Successfull,NA,NA,NA,NA,NA,NA
basaonprdofsv01.be.xchanginghosting.com,0,Successfull,09/25/2021,51400270,3,09/27/2021,667028,1
basaonprdofsv02.be.xchanginghosting.com,0,Successfull,09/25/2021,70812664,3,09/27/2021,6688287,1
basaonprdofsv03.be.xchanginghosting.com,0,Successfull,09/25/2021,36907388,3,09/27/2021,5262938,1
basaonprdofsv04.be.xchanginghosting.com,0,Successfull,09/25/2021,42358969,3,09/27/2021,645820,1
basaonprdorav01.be.xchanginghosting.com,0,Successfull,09/25/2021,28645227,3,09/27/2021,1322587,1
basaonprdorav02.be.xchanginghosting.com,0,Successfull,09/25/2021,264040865,3,09/27/2021,695940,1
