Client_Name,Error_Code,Status,Last_Full_Date,Last_Full_Size,Gap_In_Full,Last_Incr_Date,Incr_Size,Incr_gap
BASAPOPRDPFSV01,0,Successfull,08/28/2021,1149516730,40,10/06/2021,7475255,1
BASAPPPRDMONV05,0,Successfull,10/01/2021,115975222,6,10/06/2021,687229,1
BASBMCPRDBPML02,0,Successfull,10/01/2021,183595309,6,10/06/2021,102463913,1
BASBMCPRDISNL01,0,Successfull,10/01/2021,9421102,6,10/06/2021,397407,1
BASBMCPRDISNL02,0,Successfull,10/01/2021,6754050,6,10/06/2021,55455,1
BASBMCPRDMGTV01,0,Successfull,10/01/2021,64407096,6,10/06/2021,2343985,1
BASCRETSDAPPV01,0,Successfull,10/01/2021,39672685,6,10/06/2021,421424,1
BASDFVTSDAPPV01,0,Successfull,10/01/2021,27939156,6,10/06/2021,668735,1
BASDFVTSDAPPV02,0,Successfull,10/01/2021,97258832,6,10/06/2021,200135,1
BASDFVTSDAPPV03,0,Successfull,10/01/2021,44662244,6,10/06/2021,1427436,1
BASFDPPRDDATV01,0,Successfull,10/02/2021,200678479,5,10/06/2021,4766383,1
BASFERUDSCMDV01,0,Successfull,10/02/2021,63300849,5,10/06/2021,944101,1
BASFERUDSPRBV01,0,Successfull,10/01/2021,40964995,6,10/06/2021,693091,1
BASFERUDSSQLV01,0,Successfull,10/01/2021,72767969,6,10/06/2021,27995976,1
BASIMRFOFXAGV01,0,Successfull,08/25/2021,33773946,43,10/06/2021,1760291,1
BASIMRFOFXAGV02_RESTORE3,0,Successfull,08/28/2021,34463204,40,10/06/2021,1651792,1
BASIMRFOFXAGV02_RESTORE3,0,Successfull,08/28/2021,34463204,40,10/06/2021,2475359,1
BASIMRSECXAGV02,0,Successfull,09/25/2021,33572686,12,10/06/2021,2310814,1
BASIMRSECXAGV03,0,Successfull,08/25/2021,24323230,43,10/06/2021,2388052,1
BASINSPRDCTXV01,0,Successfull,10/01/2021,89415978,6,10/06/2021,12121385,1
BASINSPRDCTXV02,0,Successfull,10/01/2021,87944354,6,10/06/2021,4136817,1
BASINSPRDCTXV04,0,Successfull,10/01/2021,143417952,6,10/06/2021,38724231,1
BASINSPRDCTXV09,0,Successfull,10/01/2021,147427309,6,10/06/2021,42726413,1
BASISWDEVINTV01,0,Successfull,10/01/2021,110161652,6,10/06/2021,1665903,1
BASISWPRDPOSV01,0,Successfull,10/01/2021,11422855,6,10/06/2021,1006818,1
BASISWPRDPOSV02,0,Successfull,10/01/2021,12089822,6,10/06/2021,1023747,1
BASISWTSTWEBV01,0,Successfull,10/01/2021,53666478,6,10/06/2021,1373779,1
BASITCTSTV7KV01,0,Successfull,10/02/2021,36136788,5,10/06/2021,1530972,1
BASMARPRDDOCV11,0,Successfull,10/03/2021,61473121,4,10/07/2021,1235795,0
BASMARPRDDOCV12,0,Successfull,10/02/2021,62111318,5,10/07/2021,1222704,0
BASMARPRDDOCV13,0,Successfull,10/02/2021,61105989,5,10/07/2021,1198363,0
BASMARPRDDOCV14,0,Successfull,10/02/2021,61159600,5,10/07/2021,1203524,0
BASMARPRDDOCV15,0,Successfull,10/02/2021,61589219,5,10/07/2021,1637010,0
BASMARPRDDOCV16,0,Successfull,10/02/2021,64163605,5,10/07/2021,1331604,0
BASMARPRDDOCV17,0,Successfull,10/02/2021,64945895,5,10/07/2021,1323948,0
BASMARPRDDOCV18,0,Successfull,10/02/2021,64506597,5,10/07/2021,1304319,0
BASMARPRDDOCV19,0,Successfull,10/02/2021,65099984,5,10/07/2021,1337858,0
BASMARPRDDOCV20,0,Successfull,10/02/2021,65191782,5,10/07/2021,1298804,0
BASMARPRDMSGV02,0,Successfull,10/03/2021,28794686,4,10/07/2021,1243694,0
BASMARPRDOFSV11,0,Successfull,10/03/2021,81737613,4,10/07/2021,3606248,0
BASMARPRDOFSV12,0,Successfull,10/02/2021,60129048,5,10/07/2021,2815399,0
BASMARPRDOFSV13,0,Successfull,10/03/2021,58188716,4,10/07/2021,3040342,0
