Client_Name,Error_Code,Status,Last_Full_Date,Last_Full_Size,Gap_In_Full,Last_Incr_Date,Incr_Size,Incr_gap
ACT-XSTS-B64-03,0,Successfull,09-10-2021,34696318,11,09/21/2021,1946866,0
ACT-XSTS-B64-04,0,Successfull,09-10-2021,78214169,11,09/21/2021,6262496,0
ACT-XSTS-B64-MP,0,Successfull,09-10-2021,63937677,11,09/21/2021,3126285,0
ACT-XSTS-B64-PS,0,Successfull,09-10-2021,65189188,11,09/21/2021,285034,0
ACT-XSTS-B64-PT,0,Successfull,09-10-2021,243532363,11,09/21/2021,51474775,0
ACT-XSTS-BE-01,0,Successfull,09-10-2021,137792537,11,09/21/2021,3451915,0
ACT-XSTS-D64-01,0,Successfull,09-10-2021,374395329,11,09/21/2021,3695897,0
ACT-XSTS-MAN-01,0,Successfull,09-10-2021,75063293,11,09/21/2021,14160408,0
ACT-XSTS-WEB-01,0,Successfull,09-10-2021,72000226,11,09/21/2021,2200315,0
ACT-XSTS-XA-01,0,Successfull,09-10-2021,39985831,11,09/21/2021,1776374,0
ACTAONCORADCV02,0,Successfull,09-10-2021,24772529,11,09/21/2021,2891527,0
ACTAONCORADCV03,0,Successfull,09-10-2021,24366746,11,09/21/2021,2855665,0
ACTAONCORADCV04,0,Successfull,09-10-2021,23185066,11,09/21/2021,2704882,0
ACTAONCORADVV01,0,Successfull,09-10-2021,25523010,11,09/21/2021,2838647,0
ACTAONCORCDCV01,0,Successfull,09-10-2021,25657943,11,09/21/2021,2484110,0
ACTAONCORCDCV02,0,Successfull,09-10-2021,25370293,11,09/21/2021,2378318,0
ACTAONCORCSFV01,0,Successfull,09-10-2021,53236665,11,09/21/2021,2077039,0
ACTAONCORCSFV02,0,Successfull,09-10-2021,67861192,11,09/21/2021,2101932,0
ACTAONCORCTXV02,0,Successfull,09-10-2021,53082770,11,09/21/2021,3820464,0
ACTAONCORFPSV01,0,Successfull,09-10-2021,182834238,11,09/21/2021,39061128,0
ACTAONCORMANV01,0,Successfull,09-10-2021,40752753,11,09/21/2021,3144283,0
ACTAONCORMANV02,0,Successfull,09-10-2021,35744456,11,09/21/2021,2399348,0
ACTAONCORPVSV02,0,Successfull,09-10-2021,602811277,11,09/21/2021,3229235,0
ACTAONCORPVSV03,0,Successfull,09-10-2021,547497378,11,09/21/2021,6754351,0
ACTAONCORSQLV01,0,Successfull,09-10-2021,54558560,11,09/21/2021,7289895,0
ACTAONCORSQLV02,0,Successfull,09-10-2021,54278706,11,09/21/2021,6160755,0
ACTAONCORWEBV01,0,Successfull,09-10-2021,39269336,11,09/21/2021,2874538,0
ACTAONCORWEBV02,0,Successfull,09-10-2021,39259001,11,09/21/2021,3247754,0
ACTAONTRNDOCV01,0,Successfull,09-10-2021,52770327,11,09/21/2021,4362480,0
ACTAONTRNFPSV01,0,Successfull,09-10-2021,61883020,11,09/21/2021,4596658,0
ACTAONTRNMSGV01,0,Successfull,09-10-2021,41976535,11,09/21/2021,4222156,0
ACTAONTRNPPSV01,0,Successfull,09-10-2021,66863248,11,09/21/2021,4218000,0
ACTAONUATADCV01,0,Successfull,09-10-2021,24358125,11,09/21/2021,3245764,0
ACTAONUATADCV02,0,Successfull,09-10-2021,26312088,11,09/21/2021,3056373,0
ACTAONUATDOCV01,0,Successfull,09-10-2021,63401729,11,09/21/2021,4612511,0
ACTAONUATFPSV01,0,Successfull,09-10-2021,97867341,11,09/21/2021,5646817,0
ACTAONUATMSGV01,0,Successfull,09-10-2021,65622393,11,09/21/2021,4706611,0
ACTAONUATPPSV01,0,Successfull,09-10-2021,66309856,11,09/21/2021,5317959,0
ACTAPODEVSQLV17,0,Successfull,09-10-2021,1580569280,11,09/21/2021,129840565,0
ACTAPODEVSQLV18,0,Successfull,09-10-2021,3156848335,11,09/21/2021,306048243,0
ACTAPODEVSQLV24,0,Successfull,09-10-2021,830390822,11,09/21/2021,427134176,0
ACTAPODEVWEBV17,0,Successfull,09-10-2021,52647633,11,09/21/2021,3458615,0
ACTAPOPRDAAV01,0,Successfull,09-10-2021,21739377,11,09/21/2021,2705077,0
ACTAPOPRDADCV01,0,Successfull,09-10-2021,26648514,11,09/21/2021,3087171,0
ACTAPOPRDCDCV03,0,Successfull,09-10-2021,22337712,11,09/21/2021,2139960,0
ACTAPOPRDCDCV04,0,Successfull,09-10-2021,22884990,11,09/21/2021,2280089,0
ACTAPOPRDCXSQL1,0,Successfull,09-10-2021,45924197,11,09/21/2021,12431785,0
ACTAPOPRDEXCV01,0,Successfull,09-10-2021,4945271842,11,09/21/2021,5005167741,0
ACTAPOPRDFASV01,0,Successfull,09-10-2021,18092521,11,09/21/2021,3024435,0
ACTAPOPRDFASV02,0,Successfull,09-10-2021,18058546,11,09/21/2021,2997427,0
ACTAPOPRDPVSV03,0,Successfull,09-10-2021,141251587,11,09/21/2021,3751373,0
ACTAPOPRDPVSV04,0,Successfull,09-10-2021,139844279,11,09/21/2021,2093086,0
ACTAPOPRDSFSV03,0,Successfull,09-10-2021,27394324,11,09/21/2021,1861565,0
ACTAPOPRDSFSV04,0,Successfull,09-10-2021,28390262,11,09/21/2021,1931390,0
ACTAPOPRDSQLV01,0,Successfull,09-10-2021,799508180,11,09/21/2021,139121680,0
ACTAPOUATSQLV02,0,Successfull,09-10-2021,1440318400,11,09/21/2021,256703108,0
ACTAPOUATSQLV04,0,Successfull,09-10-2021,888926555,11,09/21/2021,315668081,0
