Client_Name,Error_Code,Status,Last_Full_Date,Last_Full_Size,Gap_In_Full,Last_Incr_Date,Incr_Size,Incr_gap
ACT-XSTS-B64-03,0,Successfull,09/10/2021,34696318,5,09/14/2021,1191276,1
ACT-XSTS-B64-04,0,Successfull,09/10/2021,78214169,5,09/14/2021,4990408,1
ACT-XSTS-B64-MP,0,Successfull,09/10/2021,63937677,5,09/14/2021,2134483,1
ACT-XSTS-B64-PS,0,Successfull,09/10/2021,65189188,5,09/14/2021,266948,1
ACT-XSTS-B64-PT,0,Successfull,09/10/2021,243532363,5,09/14/2021,8397648,1
ACT-XSTS-BE-01,0,Successfull,09/10/2021,137792537,5,09/14/2021,2044469,1
ACT-XSTS-D64-01,0,Successfull,09/10/2021,374395329,5,09/14/2021,2602415,1
ACT-XSTS-MAN-01,0,Successfull,09/10/2021,75063293,5,09/14/2021,13088920,1
ACT-XSTS-WEB-01,0,Successfull,09/10/2021,72000226,5,09/14/2021,1938802,1
ACT-XSTS-XA-01,0,Successfull,09/10/2021,39985831,5,09/14/2021,1110963,1
ACTAONCORADCV02,0,Successfull,09/10/2021,24772529,5,09/14/2021,1827326,1
ACTAONCORADCV03,0,Successfull,09/10/2021,24366746,5,09/14/2021,1819593,1
ACTAONCORADCV04,0,Successfull,09/10/2021,23185066,5,09/14/2021,1624008,1
ACTAONCORADVV01,0,Successfull,09/10/2021,25523010,5,09/14/2021,905118,1
ACTAONCORCDCV01,0,Successfull,09/10/2021,25657943,5,09/14/2021,1444330,1
ACTAONCORCDCV02,0,Successfull,09/10/2021,25370293,5,09/14/2021,1364938,1
ACTAONCORCSFV01,0,Successfull,09/10/2021,53236665,5,09/14/2021,1128549,1
ACTAONCORCSFV02,0,Successfull,09/10/2021,67861192,5,09/14/2021,1108453,1
ACTAONCORCTXV02,0,Successfull,09/10/2021,53082770,5,09/14/2021,2766710,1
ACTAONCORFPSV01,0,Successfull,09/10/2021,182834238,5,09/14/2021,31744287,1
ACTAONCORMANV01,0,Successfull,09/10/2021,40752753,5,09/14/2021,1990443,1
ACTAONCORMANV02,0,Successfull,09/10/2021,35744456,5,09/14/2021,1314969,1
ACTAONCORPVSV02,0,Successfull,09/10/2021,602811277,5,09/14/2021,1736844,1
ACTAONCORPVSV03,0,Successfull,09/10/2021,547497378,5,09/14/2021,5179336,1
ACTAONCORSQLV01,0,Successfull,09/10/2021,54558560,5,09/14/2021,1763456,1
ACTAONCORSQLV02,0,Successfull,09/10/2021,54278706,5,09/14/2021,1990862,1
ACTAONCORWEBV01,0,Successfull,09/10/2021,39269336,5,09/14/2021,1819875,1
ACTAONCORWEBV02,0,Successfull,09/10/2021,39259001,5,09/14/2021,2021219,1
ACTAONTRNDOCV01,0,Successfull,09/10/2021,52770327,5,09/14/2021,3265772,1
ACTAONTRNFPSV01,0,Successfull,09/10/2021,61883020,5,09/14/2021,3143563,1
ACTAONTRNMSGV01,0,Successfull,09/10/2021,41976535,5,09/14/2021,3004133,1
ACTAONTRNPPSV01,0,Successfull,09/10/2021,66863248,5,09/14/2021,3127272,1
ACTAONUATADCV01,0,Successfull,09/10/2021,24358125,5,09/14/2021,1817395,1
ACTAONUATADCV02,0,Successfull,09/10/2021,26312088,5,09/14/2021,1839918,1
