Client_Name,Error_Code,Status,Last_Full_Date,Last_Full_Size,Gap_In_Full,Last_Incr_Date,Incr_Size,Incr_gap
BASAONBOT,0,Successfull,09/10/2021,34894013,5,09/14/2021,964972,1
BASAONCORADCV01,0,Successfull,09/10/2021,26377426,5,09/14/2021,777668,1
BASAONCORADCV02,0,Successfull,09/10/2021,23878236,5,09/14/2021,1655592,1
BASAONCORCDCV01,0,Successfull,09/10/2021,26593864,5,09/14/2021,1506471,1
BASAONCORCDCV02,0,Successfull,09/10/2021,24714780,5,09/14/2021,1330863,1
BASAONCORCSFV02,0,Successfull,09/10/2021,39679669,5,09/14/2021,992481,1
BASAONCORCSFV03,0,Successfull,09/10/2021,24817714,5,09/14/2021,1181183,1
BASAONCORFPSV01,0,Successfull,09/10/2021,177685287,5,09/14/2021,32150832,1
BASAONCORPVSV01,0,Successfull,09/10/2021,206855232,5,09/14/2021,1106086,1
BASAONCORPVSV02,0,Successfull,09/10/2021,237449707,5,09/14/2021,1326852,1
BASAONCORSQLV01,0,Successfull,09/10/2021,63582384,5,09/14/2021,5425018,1
BASAONCORSQLV02,0,Successfull,09/10/2021,53798895,5,09/14/2021,1511995,1
BASAONPRDADCV01,0,Successfull,09/10/2021,31447721,5,09/14/2021,1644878,1
BASAONPRDADCV02,0,Successfull,09/10/2021,24468472,5,09/14/2021,1642442,1
BASAONPRDDOCV01,0,Successfull,09/10/2021,78168365,5,09/14/2021,2384184,1
BASAONPRDDOCV02,0,Successfull,09/10/2021,82447216,5,09/14/2021,2329298,1
BASAONPRDDOCV03,0,Successfull,09/10/2021,93630628,5,09/14/2021,2222900,1
BASAONPRDDOCV04,0,Successfull,09/10/2021,89439727,5,09/14/2021,2259862,1
BASAONPRDDOCV05,0,Successfull,09/10/2021,82183818,5,09/14/2021,1636980,1
BASAONPRDDOCV06,0,Successfull,09/10/2021,84180869,5,09/14/2021,1542964,1
BASAONPRDDOCV07,0,Successfull,09/10/2021,82405435,5,09/14/2021,1654611,1
BASAONPRDDOCV08,0,Successfull,09/10/2021,82111602,5,09/14/2021,2394068,1
BASAONPRDFPSV01,0,Successfull,09/10/2021,592840302,5,09/14/2021,4323660,1
BASAONPRDMSGV01,0,Successfull,09/10/2021,59392171,5,09/14/2021,2273223,1
BASAONPRDPPSV01,0,Successfull,09/11/2021,68953586,4,09/14/2021,2011858,1
BASAPODEVSQLV01,0,Successfull,09/10/2021,135570902,5,09/14/2021,3711074,1
BASAPOIMGCTXV01,0,Successfull,09/10/2021,61055873,5,09/14/2021,105,1
BASAPOIMGCXAV03,0,Successfull,09/10/2021,45145100,5,09/14/2021,746761,1
BASAPOPRDAAV01,0,Successfull,09/10/2021,20405451,5,09/14/2021,2384567,1
BASAPOPRDADCV01,0,Successfull,09/10/2021,34310583,5,09/14/2021,4586616,1
BASAPOPRDADCV02,0,Successfull,09/10/2021,30219641,5,09/14/2021,1743768,1
BASAPOPRDAPPV12,0,Successfull,09/10/2021,53379719,5,09/14/2021,1446490,1
BASAPOPRDAPPV23,0,Successfull,09/10/2021,480441148,5,09/14/2021,10730873,1
BASAPOPRDAPPV31,0,Successfull,09/10/2021,35875358,5,09/14/2021,2233631,1
BASAPOPRDAPPV33,0,Successfull,09/10/2021,251380422,5,09/14/2021,67032844,1
BASAPOPRDCDCV03,0,Successfull,09/10/2021,30364433,5,09/14/2021,2212581,1
BASAPOPRDCDCV04,0,Successfull,09/10/2021,36246096,5,09/14/2021,2140231,1
BASAPOPRDCXLV01,0,Successfull,09/10/2021,29322771,5,09/14/2021,2137061,1
BASAPOPRDCXSQL1,0,Successfull,09/10/2021,46637301,5,09/14/2021,5166594,1
BASAPOPRDFASV01,0,Successfull,09/10/2021,17564130,5,09/14/2021,2140822,1
BASAPOPRDFASV02,0,Successfull,09/10/2021,19661122,5,09/14/2021,2158874,1
BASAPOPRDFPSV06,0,Successfull,09/10/2021,1073805449,5,09/14/2021,729823760,1
BASAPOPRDFSWV01,0,Successfull,09/10/2021,16352722,5,09/14/2021,989236,1
BASAPOPRDPVSV03,0,Successfull,09/10/2021,402495092,5,09/14/2021,2173147,1
BASAPOPRDPVSV04,0,Successfull,09/10/2021,322949434,5,09/14/2021,2171668,1
BASAPOPRDSFSV03,0,Successfull,09/10/2021,24399609,5,09/14/2021,2059353,1
BASAPOPRDSFSV04,0,Successfull,09/10/2021,36775910,5,09/14/2021,2041911,1
BASAPOPRDSQLV01,0,Successfull,09/10/2021,1623598792,5,09/14/2021,515219422,1
BASAPOPRDSQLV02,0,Successfull,09/10/2021,1593776767,5,09/14/2021,125440165,1
BASAPOPRDSQLV07,0,Successfull,09/10/2021,152336161,5,09/14/2021,6823807,1
BASAPOPRDSQLV09,0,Successfull,09/10/2021,1231571462,5,09/14/2021,38829390,1
BASAPOPRDSQLV11,0,Successfull,09/10/2021,455022322,5,09/14/2021,9145295,1
BASAPOPRDSQLV13,0,Successfull,09/10/2021,47467634,5,09/14/2021,2582397,1
BASAPOPRDSQLV15,0,Successfull,09/10/2021,1028393718,5,09/14/2021,296535405,1
BASAPOPRDSQLV23,0,Successfull,09/10/2021,1810345525,5,09/14/2021,309181929,1
BASAPOPRDSQLV24,0,Successfull,09/10/2021,294736593,5,09/14/2021,13556884,1
BASAPOPRDSQLV25,0,Successfull,09/10/2021,170908967,5,09/14/2021,13474173,1
BASAPOPRDSQLV26,0,Successfull,09/10/2021,114154811,5,09/14/2021,3659884,1
BASAPOPRDSQLV32,0,Successfull,08/13/2021,2895425949,33,09/13/2021,2877253509,2
BASAPOPRDWEBV01,0,Successfull,09/10/2021,35939450,5,09/14/2021,1399241,1
BASMGAPRDAPPV01,0,Successfull,09/10/2021,54187646,5,09/14/2021,1564965,1
BASMGAPRDCACV01,0,Successfull,09/10/2021,23598888,5,09/14/2021,1264423,1
BASMGAPRDFPSV01,0,Successfull,09/10/2021,253908454,5,09/14/2021,4924603,1
BASMGAPRDRDSV01,0,Successfull,09/10/2021,24694492,5,09/14/2021,1251225,1
BASMGAPRDSQLV01,0,Successfull,09/10/2021,1672987631,5,09/14/2021,250588950,1
BASMGAPRDWEBV01,0,Successfull,09/10/2021,41237550,5,09/14/2021,910888,1
BASMGAPRDWEBV02,0,Successfull,09/10/2021,51429572,5,09/14/2021,905608,1
NONE,0,Successfull,NA,NA,NA,NA,NA,NA
basaonprdofsv01.be.xchanginghosting.com,0,Successfull,09/10/2021,50922565,5,09/14/2021,4733828,1
basaonprdofsv02.be.xchanginghosting.com,0,Successfull,09/10/2021,44279804,5,09/14/2021,901434,1
basaonprdofsv03.be.xchanginghosting.com,0,Successfull,09/10/2021,63817072,5,09/14/2021,329306,1
basaonprdofsv04.be.xchanginghosting.com,0,Successfull,09/10/2021,44628655,5,09/14/2021,4683134,1
basaonprdorav01.be.xchanginghosting.com,0,Successfull,09/10/2021,30610507,5,09/14/2021,8369855,1
