"Date","Session Id","Client","Object Type","Specification","Mountpoint","Description","Status","Mode","Start Time","End Time","Duration","size","protection"
"02-02-2022","2022/02/01-22","usplsrcsh558.rcu.svcs.entsvcs.net","BAR","Oracle8 RCU_ORA_USPLSRCSH558_RCUPPM_ON_2130_LOG","RCU_ORA_USPLSRCSH558_RCUPPM_ON_2130_LOG<RCUPPM_56823:1095489020:1>.dbf","Oracle8","Completed","full","02/01/22 06:30:23","02/01/22 06:30:32","0:00","1023744","03/03/22 06:30:32"
"02-02-2022","2022/02/01-22","usplsrcsh558.rcu.svcs.entsvcs.net","BAR","Oracle8 RCU_ORA_USPLSRCSH558_RCUPPM_ON_2130_LOG","c-2675330069-20220201-01","Oracle8","Completed","full","02/01/22 06:30:47","02/01/22 06:30:47","0:00","51968","03/03/22 06:30:47"
"02-02-2022","2022/02/01-22","usplsrcsh558.rcu.svcs.entsvcs.net","BAR","Oracle8 RCU_ORA_USPLSRCSH558_RCUPPM_ON_2130_LOG","RCUPPM DP Managed Control File Backup","Oracle8","Completed","full","02/01/22 06:31:09","02/01/22 06:31:09","0:00","51888","03/03/22 06:31:09"
"02-02-2022","2022/02/01-22","usplsrcsh558.rcu.svcs.entsvcs.net","BAR","Oracle8 RCU_ORA_USPLSRCSH558_RCUPPM_ON_2130_LOG","Oracle Recovery Backup Catalog","Oracle8","Completed","full","02/01/22 06:32:28","02/01/22 06:32:36","0:00","828928","03/03/22 06:32:36"
"02-02-2022","2022/02/01-23","usplsrcu521.rcu.svcs.entsvcs.net","BAR","Oracle8 RCU_ORA_USPLSRCU521_RCUNMO_1_ON_0500_LOG","RCU_ORA_USPLSRCU521_RCUNMO_1_ON_0500_LOG<RCUNMO_1_136995:1095490825:1>.dbf","Oracle8","Completed","full","02/01/22 07:00:29","02/01/22 07:02:25","0:01","15632128","03/03/22 07:02:25"
"02-02-2022","2022/02/01-23","usplsrcu521.rcu.svcs.entsvcs.net","BAR","Oracle8 RCU_ORA_USPLSRCU521_RCUNMO_1_ON_0500_LOG","RCU_ORA_USPLSRCU521_RCUNMO_1_ON_0500_LOG<RCUNMO_1_136996:1095490951:1>.dbf","Oracle8","Completed","full","02/01/22 07:02:31","02/01/22 07:04:58","0:02","15539456","03/03/22 07:04:58"
"02-02-2022","2022/02/01-23","usplsrcu521.rcu.svcs.entsvcs.net","BAR","Oracle8 RCU_ORA_USPLSRCU521_RCUNMO_1_ON_0500_LOG","RCU_ORA_USPLSRCU521_RCUNMO_1_ON_0500_LOG<RCUNMO_1_136997:1095491106:1>.dbf","Oracle8","Completed","full","02/01/22 07:05:07","02/01/22 07:07:44","0:02","15446784","03/03/22 07:07:44"
"02-02-2022","2022/02/01-23","usplsrcu521.rcu.svcs.entsvcs.net","BAR","Oracle8 RCU_ORA_USPLSRCU521_RCUNMO_1_ON_0500_LOG","RCU_ORA_USPLSRCU521_RCUNMO_1_ON_0500_LOG<RCUNMO_1_136998:1095491272:1>.dbf","Oracle8","Completed","full","02/01/22 07:07:53","02/01/22 07:10:01","0:02","15431936","03/03/22 07:10:01"
"02-02-2022","2022/02/01-23","usplsrcu521.rcu.svcs.entsvcs.net","BAR","Oracle8 RCU_ORA_USPLSRCU521_RCUNMO_1_ON_0500_LOG","RCU_ORA_USPLSRCU521_RCUNMO_1_ON_0500_LOG<RCUNMO_1_136999:1095491408:1>.dbf","Oracle8","Completed","full","02/01/22 07:10:09","02/01/22 07:12:37","0:02","15305984","03/03/22 07:12:37"
"02-02-2022","2022/02/01-23","usplsrcu521.rcu.svcs.entsvcs.net","BAR","Oracle8 RCU_ORA_USPLSRCU521_RCUNMO_1_ON_0500_LOG","RCU_ORA_USPLSRCU521_RCUNMO_1_ON_0500_LOG<RCUNMO_1_137000:1095491564:1>.dbf","Oracle8","Completed","full","02/01/22 07:12:46","02/01/22 07:14:46","0:02","13977600","03/03/22 07:14:46"
"02-02-2022","2022/02/01-23","usplsrcu521.rcu.svcs.entsvcs.net","BAR","Oracle8 RCU_ORA_USPLSRCU521_RCUNMO_1_ON_0500_LOG","RCU_ORA_USPLSRCU521_RCUNMO_1_ON_0500_LOG<RCUNMO_1_137001:1095491691:1>.dbf","Oracle8","Completed","full","02/01/22 07:14:52","02/01/22 07:17:13","0:02","13816832","03/03/22 07:17:13"
"02-02-2022","2022/02/01-23","usplsrcu521.rcu.svcs.entsvcs.net","BAR","Oracle8 RCU_ORA_USPLSRCU521_RCUNMO_1_ON_0500_LOG","RCU_ORA_USPLSRCU521_RCUNMO_1_ON_0500_LOG<RCUNMO_1_137002:1095491837:1>.dbf","Oracle8","Completed","full","02/01/22 07:17:18","02/01/22 07:19:15","0:01","12918784","03/03/22 07:19:15"
"02-02-2022","2022/02/01-23","usplsrcu521.rcu.svcs.entsvcs.net","BAR","Oracle8 RCU_ORA_USPLSRCU521_RCUNMO_1_ON_0500_LOG","RCU_ORA_USPLSRCU521_RCUNMO_1_ON_0500_LOG<RCUNMO_1_137003:1095491964:1>.dbf","Oracle8","Completed","full","02/01/22 07:19:25","02/01/22 07:21:23","0:01","12051968","03/03/22 07:21:23"
"02-02-2022","2022/02/01-23","usplsrcu521.rcu.svcs.entsvcs.net","BAR","Oracle8 RCU_ORA_USPLSRCU521_RCUNMO_1_ON_0500_LOG","RCU_ORA_USPLSRCU521_RCUNMO_1_ON_0500_LOG<RCUNMO_1_137004:1095492090:1>.dbf","Oracle8","Completed","full","02/01/22 07:21:32","02/01/22 07:23:25","0:01","11609600","03/03/22 07:23:25"
"02-02-2022","2022/02/01-23","usplsrcu521.rcu.svcs.entsvcs.net","BAR","Oracle8 RCU_ORA_USPLSRCU521_RCUNMO_1_ON_0500_LOG","RCU_ORA_USPLSRCU521_RCUNMO_1_ON_0500_LOG<RCUNMO_1_137005:1095492217:1>.dbf","Oracle8","Completed","full","02/01/22 07:23:38","02/01/22 07:25:07","0:01","10761728","03/03/22 07:25:07"
"02-02-2022","2022/02/01-23","usplsrcu521.rcu.svcs.entsvcs.net","BAR","Oracle8 RCU_ORA_USPLSRCU521_RCUNMO_1_ON_0500_LOG","RCU_ORA_USPLSRCU521_RCUNMO_1_ON_0500_LOG<RCUNMO_1_137006:1095492313:1>.dbf","Oracle8","Completed","full","02/01/22 07:25:15","02/01/22 07:26:47","0:01","9463808","03/03/22 07:26:47"
"02-02-2022","2022/02/01-23","usplsrcu521.rcu.svcs.entsvcs.net","BAR","Oracle8 RCU_ORA_USPLSRCU521_RCUNMO_1_ON_0500_LOG","RCU_ORA_USPLSRCU521_RCUNMO_1_ON_0500_LOG<RCUNMO_1_137007:1095492410:1>.dbf","Oracle8","Completed","full","02/01/22 07:26:51","02/01/22 07:27:31","0:00","5159424","03/03/22 07:27:31"
"02-02-2022","2022/02/01-23","usplsrcu521.rcu.svcs.entsvcs.net","BAR","Oracle8 RCU_ORA_USPLSRCU521_RCUNMO_1_ON_0500_LOG","c-4069071713-20220201-01","Oracle8","Completed","full","02/01/22 07:27:37","02/01/22 07:27:37","0:00","31232","03/03/22 07:27:37"
"02-02-2022","2022/02/01-23","usplsrcu521.rcu.svcs.entsvcs.net","BAR","Oracle8 RCU_ORA_USPLSRCU521_RCUNMO_1_ON_0500_LOG","RCUNMO_1 DP Managed Control File Backup","Oracle8","Completed","full","02/01/22 07:27:56","02/01/22 07:27:56","0:00","30992","03/03/22 07:27:56"
"02-02-2022","2022/02/01-24","ustxacsdblp02p.apll.com","BAR","Oracle8 APLL_ORACLE_USTXACSDBLP02P_ACSPRD_ARCH","APLL_ORACLE_USTXACSDBLP02P_ACSPRD_ARCH<ACSPRD_73822:1095487291:1>.dbf","Oracle8","Completed","full","02/01/22 08:01:32","02/01/22 08:04:50","0:03","26725632","02/15/22 08:04:50"
"02-02-2022","2022/02/01-24","ustxacsdblp02p.apll.com","BAR","Oracle8 APLL_ORACLE_USTXACSDBLP02P_ACSPRD_ARCH","APLL_ORACLE_USTXACSDBLP02P_ACSPRD_ARCH<ACSPRD_73823:1095487291:1>.dbf","Oracle8","Completed","full","02/01/22 08:01:32","02/01/22 08:04:16","0:02","23161344","02/15/22 08:04:16"
"02-02-2022","2022/02/01-24","ustxacsdblp02p.apll.com","BAR","Oracle8 APLL_ORACLE_USTXACSDBLP02P_ACSPRD_ARCH","APLL_ORACLE_USTXACSDBLP02P_ACSPRD_ARCH<ACSPRD_73824:1095487467:1>.dbf","Oracle8","Completed","full","02/01/22 08:04:27","02/01/22 08:04:28","0:00","204544","02/15/22 08:04:28"
"02-02-2022","2022/02/01-24","ustxacsdblp02p.apll.com","BAR","Oracle8 APLL_ORACLE_USTXACSDBLP02P_ACSPRD_ARCH","APLL_ORACLE_USTXACSDBLP02P_ACSPRD_ARCH<ACSPRD_73825:1095487502:1>.dbf","Oracle8","Completed","full","02/01/22 08:05:03","02/01/22 08:05:03","0:00","29952","02/15/22 08:05:03"
"02-02-2022","2022/02/01-24","ustxacsdblp02p.apll.com","BAR","Oracle8 APLL_ORACLE_USTXACSDBLP02P_ACSPRD_ARCH","c-2214226400-20220201-01","Oracle8","Completed","full","02/01/22 08:05:10","02/01/22 08:05:11","0:00","29952","02/15/22 08:05:11"
"02-02-2022","2022/02/01-24","ustxacsdblp02p.apll.com","BAR","Oracle8 APLL_ORACLE_USTXACSDBLP02P_ACSPRD_ARCH","ACSPRD DP Managed Control File Backup","Oracle8","Completed","full","02/01/22 08:05:35","02/01/22 08:05:35","0:00","29680","02/15/22 08:05:35"
"02-02-2022","2022/02/01-25","usplsrcsh557.rcu.svcs.entsvcs.net","BAR","Oracle8 RCU_ORA_USPLSRCSH557_RCSHPRM_ON_2230_LOG","RCU_ORA_USPLSRCSH557_RCSHPRM_ON_2230_LOG<RCSHPRM_62003:1095494437:1>.dbf","Oracle8","Completed","full","02/01/22 08:00:39","02/01/22 08:04:28","0:03","28215296","03/03/22 08:04:28"
